1489 1440
0.500000 0.000000 0.000000 
0.492359 0.066491 0.000000 
0.483254 0.132743 0.000000 
0.471225 0.198518 0.000000 
0.455429 0.263577 0.000000 
0.436114 0.327682 0.000000 
0.413658 0.390617 0.000000 
0.388854 0.452787 0.000000 
0.362357 0.514692 0.000000 
0.332876 0.574994 0.000000 
0.298687 0.631943 0.000000 
0.258581 0.684271 0.000000 
0.213198 0.732425 0.000000 
0.163592 0.777241 0.000000 
0.110821 0.819552 0.000000 
0.055938 0.860193 0.000000 
0.000000 0.900000 0.000000 
0.000000 0.895666 -0.088215 
0.000000 0.882707 -0.175581 
0.000000 0.861246 -0.261256 
0.000000 0.831492 -0.344415 
0.000000 0.793729 -0.424257 
0.000000 0.748323 -0.500013 
0.000000 0.695709 -0.570954 
0.000000 0.636396 -0.636396 
0.000000 0.570954 -0.695709 
0.000000 0.500013 -0.748323 
0.000000 0.424257 -0.793729 
0.000000 0.344415 -0.831492 
0.000000 0.261256 -0.861246 
0.000000 0.175581 -0.882707 
0.000000 0.088215 -0.895666 
0.000000 0.000000 -0.900000 
0.000000 -0.088215 -0.895666 
0.000000 -0.175581 -0.882707 
0.000000 -0.261256 -0.861246 
0.000000 -0.344415 -0.831492 
0.000000 -0.424257 -0.793729 
0.000000 -0.500013 -0.748323 
0.000000 -0.570954 -0.695709 
0.000000 -0.636396 -0.636396 
0.000000 -0.695709 -0.570954 
0.000000 -0.748323 -0.500013 
0.000000 -0.793729 -0.424257 
0.000000 -0.831492 -0.344415 
0.000000 -0.861246 -0.261256 
0.000000 -0.882707 -0.175581 
0.000000 -0.895666 -0.088215 
0.000000 -0.900000 -0.000000 
0.000000 -0.895666 0.088215 
0.000000 -0.882707 0.175581 
0.000000 -0.861246 0.261256 
0.000000 -0.831492 0.344415 
0.000000 -0.793729 0.424257 
0.000000 -0.748323 0.500013 
0.000000 -0.695709 0.570954 
0.000000 -0.636396 0.636396 
0.000000 -0.570954 0.695709 
0.000000 -0.500013 0.748323 
0.000000 -0.424257 0.793729 
0.000000 -0.344415 0.831492 
0.000000 -0.261256 0.861246 
0.000000 -0.175581 0.882707 
0.000000 -0.088215 0.895666 
0.000000 -0.000000 0.900000 
0.000000 0.088215 0.895666 
0.000000 0.175581 0.882707 
0.000000 0.261256 0.861246 
0.000000 0.344415 0.831492 
0.000000 0.424257 0.793729 
0.000000 0.500013 0.748323 
0.000000 0.570954 0.695709 
0.000000 0.636396 0.636396 
0.000000 0.695709 0.570954 
0.000000 0.748323 0.500013 
0.000000 0.793729 0.424257 
0.000000 0.831492 0.344415 
0.000000 0.861246 0.261256 
0.000000 0.882707 0.175581 
0.000000 0.895666 0.088215 
0.000000 0.900000 0.000000 
0.055938 0.860193 0.000000 
0.110821 0.819552 0.000000 
0.163592 0.777241 0.000000 
0.213198 0.732425 0.000000 
0.258581 0.684271 0.000000 
0.298687 0.631943 0.000000 
0.332876 0.574994 0.000000 
0.362357 0.514692 0.000000 
0.388854 0.452787 0.000000 
0.413658 0.390617 0.000000 
0.436114 0.327682 0.000000 
0.455429 0.263577 0.000000 
0.471225 0.198518 0.000000 
0.483254 0.132743 0.000000 
0.492359 0.066491 0.000000 
0.476323 0.165842 0.049603 
0.477818 0.143080 0.082220 
0.475548 0.137980 0.111138 
0.481757 0.092923 0.107534 
0.481165 0.073379 0.125899 
0.481165 0.047407 0.137795 
0.481165 0.019614 0.144396 
0.481165 -0.008934 0.145448 
0.481165 -0.037137 0.140911 
0.481165 -0.063914 0.130958 
0.481165 -0.088235 0.115973 
0.481165 -0.109164 0.096531 
0.481165 -0.125899 0.073379 
0.481165 -0.137795 0.047407 
0.481165 -0.144396 0.019614 
0.481165 -0.145448 -0.008934 
0.481165 -0.140911 -0.037137 
0.481165 -0.130958 -0.063914 
0.481165 -0.115973 -0.088235 
0.481165 -0.096531 -0.109164 
0.481165 -0.073379 -0.125899 
0.481165 -0.047407 -0.137795 
0.481165 -0.019614 -0.144396 
0.481165 0.008934 -0.145448 
0.481165 0.037137 -0.140911 
0.481165 0.063914 -0.130958 
0.481165 0.088235 -0.115973 
0.481165 0.109164 -0.096531 
0.481165 0.125899 -0.073379 
0.480985 0.138944 -0.047393 
0.482673 0.135561 -0.015378 
0.453460 0.265774 0.051500 
0.466997 0.201855 0.081271 
0.453727 0.217271 0.159883 
0.454679 0.185569 0.191021 
0.455429 0.146436 0.219157 
0.455429 0.100867 0.243514 
0.455429 0.051421 0.258513 
0.455429 0.000000 0.263577 
0.455429 -0.051421 0.258513 
0.455429 -0.100867 0.243514 
0.455429 -0.146436 0.219157 
0.455429 -0.186377 0.186377 
0.455429 -0.219157 0.146436 
0.455429 -0.243514 0.100867 
0.455429 -0.258513 0.051421 
0.455429 -0.263577 0.000000 
0.455429 -0.258513 -0.051421 
0.455429 -0.243514 -0.100867 
0.455429 -0.219157 -0.146436 
0.455429 -0.186377 -0.186377 
0.455429 -0.146436 -0.219157 
0.455429 -0.100867 -0.243514 
0.455429 -0.051421 -0.258513 
0.455429 0.000000 -0.263577 
0.455429 0.051421 -0.258513 
0.455429 0.100867 -0.243514 
0.455429 0.146436 -0.219157 
0.455429 0.186377 -0.186377 
0.455429 0.219157 -0.146436 
0.455429 0.243514 -0.100867 
0.455429 0.258513 -0.051421 
0.413658 0.383112 0.076206 
0.413658 0.360883 0.149483 
0.413658 0.324786 0.217015 
0.413658 0.276208 0.276208 
0.413658 0.217015 0.324786 
0.413658 0.149483 0.360883 
0.413658 0.076206 0.383112 
0.413658 0.000000 0.390617 
0.413658 -0.076206 0.383112 
0.413658 -0.149483 0.360883 
0.413658 -0.217015 0.324786 
0.413658 -0.276208 0.276208 
0.413658 -0.324786 0.217015 
0.413658 -0.360883 0.149483 
0.413658 -0.383112 0.076206 
0.413658 -0.390617 0.000000 
0.413658 -0.383112 -0.076206 
0.413658 -0.360883 -0.149483 
0.413658 -0.324786 -0.217015 
0.413658 -0.276208 -0.276208 
0.413658 -0.217015 -0.324786 
0.413658 -0.149483 -0.360883 
0.413658 -0.076206 -0.383112 
0.413658 0.000000 -0.390617 
0.413658 0.076206 -0.383112 
0.413658 0.149483 -0.360883 
0.413658 0.217015 -0.324786 
0.413658 0.276208 -0.276208 
0.413658 0.324786 -0.217015 
0.413658 0.360883 -0.149483 
0.413658 0.383112 -0.076206 
0.362357 0.504802 0.100411 
0.362357 0.475513 0.196964 
0.362357 0.427951 0.285948 
0.362357 0.363942 0.363942 
0.362357 0.285948 0.427951 
0.362357 0.196964 0.475513 
0.362357 0.100411 0.504802 
0.362357 0.000000 0.514692 
0.362357 -0.100411 0.504802 
0.362357 -0.196964 0.475513 
0.362357 -0.285948 0.427951 
0.362357 -0.363942 0.363942 
0.362357 -0.427951 0.285948 
0.362357 -0.475513 0.196964 
0.362357 -0.504802 0.100411 
0.362357 -0.514692 0.000000 
0.362357 -0.504802 -0.100411 
0.362357 -0.475513 -0.196964 
0.362357 -0.427951 -0.285948 
0.362357 -0.363942 -0.363942 
0.362357 -0.285948 -0.427951 
0.362357 -0.196964 -0.475513 
0.362357 -0.100411 -0.504802 
0.362357 -0.000000 -0.514692 
0.362357 0.100411 -0.504802 
0.362357 0.196964 -0.475513 
0.362357 0.285948 -0.427951 
0.362357 0.363942 -0.363942 
0.362357 0.427951 -0.285948 
0.362357 0.475513 -0.196964 
0.362357 0.504802 -0.100411 
0.298687 0.619801 0.123286 
0.298687 0.583840 0.241834 
0.298687 0.525442 0.351089 
0.298687 0.446852 0.446852 
0.298687 0.351089 0.525442 
0.298687 0.241834 0.583840 
0.298687 0.123286 0.619801 
0.298687 0.000000 0.631943 
0.298687 -0.123286 0.619801 
0.298687 -0.241834 0.583840 
0.298687 -0.351089 0.525442 
0.298687 -0.446852 0.446852 
0.298687 -0.525442 0.351089 
0.298687 -0.583840 0.241834 
0.298687 -0.619801 0.123286 
0.298687 -0.631943 0.000000 
0.298687 -0.619801 -0.123286 
0.298687 -0.583840 -0.241834 
0.298687 -0.525442 -0.351089 
0.298687 -0.446852 -0.446852 
0.298687 -0.351089 -0.525442 
0.298687 -0.241834 -0.583840 
0.298687 -0.123286 -0.619801 
0.298687 0.000000 -0.631943 
0.298687 0.123286 -0.619801 
0.298687 0.241834 -0.583840 
0.298687 0.351089 -0.525442 
0.298687 0.446852 -0.446852 
0.298687 0.525442 -0.351089 
0.298687 0.583840 -0.241834 
0.298687 0.619801 -0.123286 
0.213198 0.718352 0.142889 
0.213198 0.676673 0.280287 
0.213198 0.608989 0.406914 
0.213198 0.517903 0.517903 
0.213198 0.406914 0.608989 
0.213198 0.280287 0.676673 
0.213198 0.142889 0.718352 
0.213198 0.000000 0.732425 
0.213198 -0.142889 0.718352 
0.213198 -0.280287 0.676673 
0.213198 -0.406914 0.608989 
0.213198 -0.517903 0.517903 
0.213198 -0.608989 0.406914 
0.213198 -0.676673 0.280287 
0.213198 -0.718352 0.142889 
0.213198 -0.732425 0.000000 
0.213198 -0.718352 -0.142889 
0.213198 -0.676673 -0.280287 
0.213198 -0.608989 -0.406914 
0.213198 -0.517903 -0.517903 
0.213198 -0.406914 -0.608989 
0.213198 -0.280287 -0.676673 
0.213198 -0.142889 -0.718352 
0.213198 -0.000000 -0.732425 
0.213198 0.142889 -0.718352 
0.213198 0.280287 -0.676673 
0.213198 0.406914 -0.608989 
0.213198 0.517903 -0.517903 
0.213198 0.608989 -0.406914 
0.213198 0.676673 -0.280287 
0.213198 0.718352 -0.142889 
0.110821 0.803804 0.159887 
0.110821 0.757167 0.313629 
0.110821 0.681432 0.455318 
0.110821 0.579510 0.579510 
0.110821 0.455318 0.681432 
0.110821 0.313629 0.757167 
0.110821 0.159887 0.803804 
0.110821 0.000000 0.819552 
0.110821 -0.159887 0.803804 
0.110821 -0.313629 0.757167 
0.110821 -0.455318 0.681432 
0.110821 -0.579510 0.579510 
0.110821 -0.681432 0.455318 
0.110821 -0.757167 0.313629 
0.110821 -0.803804 0.159887 
0.110821 -0.819552 0.000000 
0.110821 -0.803804 -0.159887 
0.110821 -0.757167 -0.313629 
0.110821 -0.681432 -0.455318 
0.110821 -0.579510 -0.579510 
0.110821 -0.455318 -0.681432 
0.110821 -0.313629 -0.757167 
0.110821 -0.159887 -0.803804 
0.110821 0.000000 -0.819552 
0.110821 0.159887 -0.803804 
0.110821 0.313629 -0.757167 
0.110821 0.455318 -0.681432 
0.110821 0.579510 -0.579510 
0.110821 0.681432 -0.455318 
0.110821 0.757167 -0.313629 
0.110821 0.803804 -0.159887 
0.481317 0.143857 0.016515 
0.461109 0.209727 0.120671 
0.484227 0.120635 0.037852 
0.490419 0.059763 0.056128 
0.483351 0.116519 0.062280 
0.487937 0.074306 0.067987 
0.483351 0.102129 0.083815 
0.490373 0.047969 0.066933 
0.483351 0.083815 0.102129 
0.490373 0.033990 0.075005 
0.483351 0.062280 0.116519 
0.490373 0.018704 0.080195 
0.483351 0.038352 0.126430 
0.490373 0.002699 0.082303 
0.483351 0.012950 0.131483 
0.490373 -0.013409 0.081248 
0.483351 -0.012950 0.131483 
0.490373 -0.029003 0.077071 
0.483351 -0.038352 0.126430 
0.490373 -0.043481 0.069932 
0.483351 -0.062280 0.116519 
0.490373 -0.056289 0.060106 
0.483351 -0.083815 0.102129 
0.490373 -0.066933 0.047969 
0.483351 -0.102129 0.083815 
0.490373 -0.075005 0.033990 
0.483351 -0.116519 0.062280 
0.490373 -0.080195 0.018704 
0.483351 -0.126430 0.038352 
0.490373 -0.082303 0.002699 
0.483351 -0.131483 0.012950 
0.490373 -0.081248 -0.013409 
0.483351 -0.131483 -0.012950 
0.490373 -0.077071 -0.029003 
0.483351 -0.126430 -0.038352 
0.490373 -0.069932 -0.043481 
0.483351 -0.116519 -0.062280 
0.490373 -0.060106 -0.056289 
0.483351 -0.102129 -0.083815 
0.490373 -0.047969 -0.066933 
0.483351 -0.083815 -0.102129 
0.490373 -0.033990 -0.075005 
0.483351 -0.062280 -0.116519 
0.490373 -0.018704 -0.080195 
0.483351 -0.038352 -0.126430 
0.490373 -0.002699 -0.082303 
0.483351 -0.012950 -0.131483 
0.490373 0.013409 -0.081248 
0.483351 0.012950 -0.131483 
0.490373 0.029003 -0.077071 
0.483351 0.038352 -0.126430 
0.490373 0.043481 -0.069932 
0.483351 0.062280 -0.116519 
0.490373 0.056289 -0.060106 
0.483351 0.083815 -0.102129 
0.490373 0.066933 -0.047969 
0.483351 0.102129 -0.083815 
0.490373 0.075005 -0.033990 
0.483351 0.116519 -0.062280 
0.490471 0.079556 -0.018043 
0.483351 0.126430 -0.038352 
0.492459 0.065556 -0.004007 
0.480843 0.147437 -0.008057 
0.469852 0.199357 0.047282 
0.472540 0.188865 0.035890 
0.451678 0.275206 0.031809 
0.471246 0.183981 0.074309 
0.469768 0.194377 0.065979 
0.464433 0.221024 0.057937 
0.462852 0.191167 0.136645 
0.468100 0.182908 0.108700 
0.459571 0.214528 0.124382 
0.470829 0.139574 0.143769 
0.466527 0.167165 0.142464 
0.454386 0.204267 0.172530 
0.470825 0.108003 0.168797 
0.470601 0.123212 0.159359 
0.455751 0.166462 0.202834 
0.470825 0.072997 0.186624 
0.470601 0.089755 0.180334 
0.455751 0.123692 0.231412 
0.470825 0.035186 0.197279 
0.470601 0.052849 0.194379 
0.455751 0.076169 0.251097 
0.470825 -0.003977 0.200353 
0.470601 0.013912 0.200954 
0.455751 0.025719 0.261132 
0.470825 -0.042988 0.195727 
0.470601 -0.025560 0.199807 
0.455751 -0.025719 0.261132 
0.470825 -0.080346 0.183580 
0.470601 -0.064049 0.190981 
0.455751 -0.076169 0.251097 
0.470825 -0.114617 0.164378 
0.470601 -0.100077 0.174816 
0.455751 -0.123692 0.231412 
0.470825 -0.144483 0.138859 
0.470601 -0.132259 0.151933 
0.455751 -0.166462 0.202834 
0.470825 -0.168797 0.108003 
0.470601 -0.159358 0.123212 
0.455751 -0.202834 0.166462 
0.470825 -0.186624 0.072997 
0.470601 -0.180334 0.089755 
0.455751 -0.231412 0.123692 
0.470825 -0.197279 0.035186 
0.470601 -0.194379 0.052849 
0.455751 -0.251097 0.076169 
0.470825 -0.200353 -0.003977 
0.470601 -0.200954 0.013912 
0.455751 -0.261132 0.025719 
0.470825 -0.195727 -0.042988 
0.470601 -0.199807 -0.025560 
0.455751 -0.261132 -0.025719 
0.470825 -0.183580 -0.080346 
0.470601 -0.190981 -0.064049 
0.455751 -0.251097 -0.076169 
0.470825 -0.164378 -0.114617 
0.470601 -0.174816 -0.100077 
0.455751 -0.231412 -0.123692 
0.470825 -0.138859 -0.144483 
0.470601 -0.151933 -0.132259 
0.455751 -0.202834 -0.166462 
0.470825 -0.108003 -0.168797 
0.470601 -0.123212 -0.159358 
0.455751 -0.166462 -0.202834 
0.470825 -0.072997 -0.186624 
0.470601 -0.089755 -0.180334 
0.455751 -0.123692 -0.231412 
0.470825 -0.035186 -0.197279 
0.470601 -0.052849 -0.194379 
0.455751 -0.076169 -0.251097 
0.470825 0.003977 -0.200353 
0.470601 -0.013912 -0.200954 
0.455751 -0.025719 -0.261132 
0.470825 0.042988 -0.195727 
0.470601 0.025560 -0.199807 
0.455751 0.025719 -0.261132 
0.470825 0.080346 -0.183580 
0.470601 0.064049 -0.190981 
0.455751 0.076169 -0.251097 
0.470825 0.114617 -0.164378 
0.470601 0.100077 -0.174816 
0.455751 0.123692 -0.231412 
0.470825 0.144483 -0.138859 
