1463 1414
0.500000 0.000000 0.000000 
0.492359 0.066491 0.000000 
0.483254 0.132743 0.000000 
0.471225 0.198518 0.000000 
0.455429 0.263577 0.000000 
0.436114 0.327682 0.000000 
0.413658 0.390617 0.000000 
0.388854 0.452787 0.000000 
0.362357 0.514692 0.000000 
0.332876 0.574994 0.000000 
0.298687 0.631943 0.000000 
0.258581 0.684271 0.000000 
0.213198 0.732425 0.000000 
0.163592 0.777241 0.000000 
0.110821 0.819552 0.000000 
0.055938 0.860193 0.000000 
0.000000 0.900000 0.000000 
0.000000 0.895666 -0.088215 
0.000000 0.882707 -0.175581 
0.000000 0.861246 -0.261256 
0.000000 0.831492 -0.344415 
0.000000 0.793729 -0.424257 
0.000000 0.748323 -0.500013 
0.000000 0.695709 -0.570954 
0.000000 0.636396 -0.636396 
0.000000 0.570954 -0.695709 
0.000000 0.500013 -0.748323 
0.000000 0.424257 -0.793729 
0.000000 0.344415 -0.831492 
0.000000 0.261256 -0.861246 
0.000000 0.175581 -0.882707 
0.000000 0.088215 -0.895666 
0.000000 0.000000 -0.900000 
0.000000 -0.088215 -0.895666 
0.000000 -0.175581 -0.882707 
0.000000 -0.261256 -0.861246 
0.000000 -0.344415 -0.831492 
0.000000 -0.424257 -0.793729 
0.000000 -0.500013 -0.748323 
0.000000 -0.570954 -0.695709 
0.000000 -0.636396 -0.636396 
0.000000 -0.695709 -0.570954 
0.000000 -0.748323 -0.500013 
0.000000 -0.793729 -0.424257 
0.000000 -0.831492 -0.344415 
0.000000 -0.861246 -0.261256 
0.000000 -0.882707 -0.175581 
0.000000 -0.895666 -0.088215 
0.000000 -0.900000 -0.000000 
0.000000 -0.895666 0.088215 
0.000000 -0.882707 0.175581 
0.000000 -0.861246 0.261256 
0.000000 -0.831492 0.344415 
0.000000 -0.793729 0.424257 
0.000000 -0.748323 0.500013 
0.000000 -0.695709 0.570954 
0.000000 -0.636396 0.636396 
0.000000 -0.570954 0.695709 
0.000000 -0.500013 0.748323 
0.000000 -0.424257 0.793729 
0.000000 -0.344415 0.831492 
0.000000 -0.261256 0.861246 
0.000000 -0.175581 0.882707 
0.000000 -0.088215 0.895666 
0.000000 -0.000000 0.900000 
0.000000 0.088215 0.895666 
0.000000 0.175581 0.882707 
0.000000 0.261256 0.861246 
0.000000 0.344415 0.831492 
0.000000 0.424257 0.793729 
0.000000 0.500013 0.748323 
0.000000 0.570954 0.695709 
0.000000 0.636396 0.636396 
0.000000 0.695709 0.570954 
0.000000 0.748323 0.500013 
0.000000 0.793729 0.424257 
0.000000 0.831492 0.344415 
0.000000 0.861246 0.261256 
0.000000 0.882707 0.175581 
0.000000 0.895666 0.088215 
0.000000 0.900000 0.000000 
0.055938 0.860193 0.000000 
0.110821 0.819552 0.000000 
0.163592 0.777241 0.000000 
0.213198 0.732425 0.000000 
0.258581 0.684271 0.000000 
0.298687 0.631943 0.000000 
0.332876 0.574994 0.000000 
0.362357 0.514692 0.000000 
0.388854 0.452787 0.000000 
0.413658 0.390617 0.000000 
0.436114 0.327682 0.000000 
0.455429 0.263577 0.000000 
0.471225 0.198518 0.000000 
0.483254 0.132743 0.000000 
0.492359 0.066491 0.000000 
0.458752 0.191143 0.162883 
0.470050 0.147626 0.140762 
0.473466 0.091184 0.164087 
0.469805 0.060009 0.196126 
0.470742 0.031899 0.198228 
0.478475 -0.010468 0.161032 
0.471845 -0.056673 0.187193 
0.473717 -0.076183 0.170203 
0.478749 -0.103720 0.121599 
0.471443 -0.155379 0.121900 
0.470918 -0.173853 0.098779 
0.480222 -0.126657 0.082833 
0.480052 -0.149671 0.028371 
0.480203 -0.151395 0.004090 
0.476717 -0.162847 -0.052185 
0.476259 -0.151887 -0.083741 
0.489834 -0.078944 -0.035378 
0.475374 -0.104916 -0.143888 
0.465678 -0.089079 -0.204723 
0.473018 -0.065579 -0.178241 
0.471382 -0.022368 -0.196510 
0.472627 0.014618 -0.191267 
0.474721 0.038255 -0.177347 
0.474451 0.081462 -0.163641 
0.490030 0.038305 -0.075883 
0.475945 0.132351 -0.114643 
0.479770 0.140444 -0.063130 
0.473838 0.178359 -0.052314 
0.473907 0.183510 -0.027297 
0.455397 0.249991 0.083905 
0.497832 -0.014415 0.013046 
0.439032 0.240525 0.209126 
0.453258 0.181434 0.201892 
0.455942 0.128479 0.227981 
0.438044 0.097544 0.306643 
0.447139 0.057038 0.286986 
0.451942 0.001286 0.276108 
0.457129 -0.047108 0.252927 
0.449036 -0.130072 0.254919 
0.451233 -0.172382 0.218862 
0.461209 -0.169206 0.172405 
0.443331 -0.266296 0.148932 
0.450286 -0.267518 0.088862 
0.448364 -0.286010 0.037610 
0.449003 -0.286293 0.001504 
0.460750 -0.239791 -0.041638 
0.460865 -0.216481 -0.110225 
0.450702 -0.233254 -0.155701 
0.451649 -0.188205 -0.203432 
0.442475 -0.150344 -0.268660 
0.455837 -0.082214 -0.248850 
0.452050 -0.035108 -0.273486 
0.449389 0.023372 -0.284019 
0.449374 0.077430 -0.274311 
0.454388 0.122254 -0.237784 
0.445184 0.184666 -0.235260 
0.453405 0.210915 -0.170025 
0.422959 0.339906 0.134802 
0.448465 0.276843 -0.079854 
0.350121 -0.387850 0.377129 
0.424843 0.350569 0.083774 
0.400904 0.374986 0.196086 
0.415082 0.303745 0.239612 
0.402710 0.276603 0.314246 
0.409307 0.199176 0.349075 
0.411558 0.123284 0.376416 
0.393989 0.051956 0.437180 
0.408221 -0.030036 0.403568 
0.427324 -0.085931 0.342852 
0.403664 -0.184486 0.373129 
0.407794 -0.249285 0.320173 
0.409015 -0.304379 0.263592 
0.417073 -0.333177 0.186046 
0.398589 -0.410058 0.125787 
0.407476 -0.403599 0.049200 
0.409435 -0.398067 -0.052945 
0.414885 -0.376823 -0.089887 
0.423604 -0.323095 -0.167387 
0.413498 -0.306163 -0.243256 
0.422343 -0.243892 -0.274713 
0.414994 -0.189929 -0.337314 
0.394159 -0.135942 -0.418306 
0.407291 -0.050793 -0.403877 
0.407915 0.029252 -0.404410 
0.408256 0.106623 -0.390294 
0.409258 0.177667 -0.360638 
0.418129 0.233758 -0.298046 
0.396902 0.338409 -0.270272 
0.412268 0.341900 -0.196299 
0.415110 0.373961 -0.098843 
0.347815 -0.309611 0.449405 
0.360078 0.508750 0.106202 
0.374423 0.440649 0.207871 
0.363762 0.417721 0.295316 
0.368281 0.327484 0.379654 
0.345035 0.272827 0.479155 
0.351522 0.172124 0.509778 
0.360791 0.063090 0.514295 
0.346608 -0.038399 0.546850 
0.365370 -0.161657 0.481558 
0.347642 -0.235874 0.492518 
0.356177 -0.320896 0.419524 
0.356770 -0.396738 0.346739 
0.358687 -0.453044 0.260813 
0.362883 -0.492324 0.146033 
0.363763 -0.507734 0.062508 
0.367012 -0.504261 -0.001091 
0.377426 -0.471310 -0.091827 
0.357010 -0.459925 -0.256030 
0.364848 -0.410415 -0.301300 
0.382363 -0.321852 -0.340369 
0.360195 -0.255878 -0.452067 
0.361379 -0.160696 -0.491241 
0.345844 -0.067882 -0.545541 
0.349500 0.037707 -0.540948 
0.357265 0.135737 -0.508015 
0.357562 0.229992 -0.472158 
0.359215 0.322084 -0.410282 
0.363817 0.394097 -0.325981 
0.347211 0.460289 -0.295479 
0.361641 0.475931 -0.200078 
0.375437 0.479659 -0.070747 
0.298269 0.618255 0.133758 
0.296764 0.583272 0.250423 
0.310377 0.496411 0.361312 
0.288018 0.431119 0.482584 
0.302107 0.310889 0.544315 
0.229227 0.294464 0.653079 
0.285101 0.082566 0.645819 
0.303384 -0.043689 0.623377 
0.300198 -0.175247 0.604828 
0.310127 -0.257330 0.557892 
0.278318 -0.403708 0.522173 
0.291357 -0.482194 0.424578 
0.290685 -0.556927 0.322210 
0.289933 -0.613557 0.197186 
0.300703 -0.621999 0.093262 
0.305505 -0.621624 -0.005511 
0.295039 -0.615622 -0.164617 
0.313670 -0.566465 -0.222632 
0.319359 -0.506690 -0.319727 
0.315069 -0.446593 -0.410127 
0.294844 -0.319904 -0.551460 
0.292344 -0.199739 -0.609180 
0.303555 -0.076834 -0.619901 
0.305798 0.039834 -0.619916 
0.278396 0.170970 -0.637401 
0.291113 0.280452 -0.578414 
0.292131 0.391126 -0.508331 
0.312928 0.438384 -0.423963 
0.283384 0.573337 -0.313346 
0.252503 0.656360 -0.216886 
0.277986 0.655029 -0.084553 
0.213161 0.715475 0.156829 
0.212317 0.671304 0.295044 
0.208676 0.607981 0.416193 
0.241517 0.475397 0.518471 
0.192658 0.379574 0.648886 
0.205631 0.237298 0.700593 
0.207622 0.094768 0.731685 
0.203514 -0.051013 0.739935 
0.204251 -0.201592 0.713047 
0.218730 -0.293324 0.665194 
0.218077 -0.445620 0.575226 
0.190030 -0.572082 0.491372 
0.202724 -0.641961 0.372956 
0.199685 -0.708075 0.232525 
0.212578 -0.723693 0.116603 
0.219943 -0.725777 -0.004578 
0.202094 -0.717156 -0.194356 
0.217420 -0.670403 -0.284548 
0.210785 -0.589956 -0.437980 
0.219998 -0.489727 -0.535593 
0.184690 -0.381681 -0.655974 
0.201414 -0.240646 -0.703651 
0.206087 -0.091235 -0.733606 
0.207026 0.048409 -0.736776 
0.218334 0.191409 -0.701751 
0.181475 0.338739 -0.682332 
0.204683 0.446681 -0.590717 
0.197527 0.561745 -0.492819 
0.242674 0.599379 -0.365783 
0.174527 0.735204 -0.221599 
0.227780 0.710482 -0.102802 
0.096985 0.805539 0.200182 
0.111800 0.732525 0.365846 
0.111018 0.644805 0.505612 
0.111028 0.528043 0.626558 
0.129776 0.407017 0.694319 
0.113439 0.267737 0.772460 
0.105174 0.115494 0.815721 
0.104864 -0.063769 0.821620 
0.032378 -0.335614 -0.810308 
0.106926 -0.317198 0.758901 
0.113951 -0.484024 0.658372 
0.112083 -0.701041 0.422637 
0.095538 -0.789284 0.260385 
0.110196 -0.809478 0.131126 
0.123848 -0.809463 0.005090 
0.098157 -0.799267 -0.220630 
0.118504 -0.749390 -0.316890 
0.111711 -0.656913 -0.488888 
0.115733 -0.555313 -0.597595 
0.131061 -0.400123 -0.697144 
0.151063 -0.265663 -0.741533 
0.106799 -0.114192 -0.814656 
0.132078 0.007807 -0.802966 
0.105683 0.217817 -0.794140 
0.131478 0.363042 -0.716784 
0.110076 0.470540 -0.671708 
0.112550 0.608271 -0.547266 
0.115257 0.700888 -0.418148 
0.139553 0.747131 -0.277612 
0.172877 0.760584 -0.115497 
0.481338 -0.005708 -0.144563 
0.465853 0.178443 0.132939 
0.474943 0.132424 0.122351 
0.481581 0.052307 0.133304 
0.471667 0.045646 0.191050 
0.485464 -0.001539 0.118146 
0.475868 -0.038429 0.171244 
0.474663 -0.062730 0.170552 
0.478830 -0.086051 0.134139 
0.480149 -0.117960 0.095489 
0.475708 -0.145630 0.099436 
0.473902 -0.164787 0.085298 
0.484739 -0.110160 0.054805 
0.484956 -0.118347 0.027899 
0.488171 -0.098057 -0.013675 
0.489987 -0.081843 -0.024156 
0.476657 -0.140778 -0.097642 
0.496910 -0.027437 0.003295 
0.477527 0.107340 -0.127439 
0.470394 -0.092659 -0.179939 
0.473473 -0.038391 -0.183715 
0.476375 -0.002890 -0.172804 
0.475045 0.022261 -0.178385 
0.483911 0.037916 -0.122779 
0.479958 0.081923 -0.129080 
0.488562 0.063077 -0.072528 
0.486690 0.091589 -0.060309 
0.489507 0.084969 -0.026520 
0.474892 0.176737 -0.036934 
0.478902 0.158285 -0.014654 
0.470633 0.191294 0.062627 
0.464436 0.208962 0.092397 
0.462461 0.165975 0.168565 
0.479794 -0.040961 0.148285 
0.446806 0.209750 0.205599 
0.468180 0.117577 0.176904 
0.468573 0.135355 0.161427 
0.455496 0.163745 0.206231 
0.466807 0.070960 0.206577 
0.454150 0.091126 0.252281 
0.462869 0.103900 0.210687 
0.487442 0.041059 0.095881 
0.460454 0.056860 0.237836 
0.443913 0.075954 0.293566 
0.471468 -0.007218 0.197240 
0.466537 0.008984 0.219407 
0.457005 0.023009 0.256712 
0.469331 -0.054230 0.200040 
0.468899 -0.030451 0.206977 
0.457663 -0.030836 0.253398 
0.469811 -0.084779 0.186728 
0.465605 -0.073332 0.211204 
0.449985 -0.092634 0.267335 
0.464622 -0.130370 0.186689 
0.468917 -0.099668 0.183848 
0.453792 -0.132675 0.234609 
0.466532 -0.163584 0.146523 
0.471228 -0.133569 0.146843 
0.455980 -0.171602 0.197385 
0.467128 -0.186409 0.111150 
0.455130 -0.225330 0.138846 
0.460490 -0.196085 0.145885 
0.469835 -0.189705 0.077609 
0.465184 -0.201202 0.101486 
0.452453 -0.244646 0.124062 
0.463586 -0.226945 0.048099 
0.468787 -0.198395 0.067957 
0.454907 -0.254793 0.074592 
0.471996 -0.194837 -0.003170 
0.465088 -0.225312 0.014068 
0.449605 -0.283479 0.020763 
0.470730 -0.191725 -0.059805 
0.471474 -0.194673 -0.032350 
0.450599 -0.277539 -0.042701 
0.468710 -0.187542 -0.094604 
0.469177 -0.191431 -0.081241 
0.428936 -0.328477 -0.117487 
0.462731 -0.189185 -0.140200 
0.464005 -0.195216 -0.122118 
0.455449 -0.228491 -0.131249 
0.464599 -0.147945 -0.173222 
0.445145 -0.083144 0.287426 
0.459017 -0.185531 -0.167736 
0.445219 -0.092984 -0.284138 
0.460235 -0.131387 -0.207262 
0.487895 -0.021860 -0.098627 
0.465611 -0.073028 -0.211281 
0.458664 -0.099489 -0.230950 
0.446817 -0.127693 -0.264460 
0.464559 -0.034751 -0.225303 
0.408608 0.396563 0.075538 
0.450586 -0.061058 -0.274135 
0.470587 0.010716 -0.201214 
0.466740 -0.012923 -0.218331 
0.454402 -0.019297 -0.266624 
0.470724 0.045153 -0.195724 
0.466345 0.028574 -0.218555 
0.453481 0.034296 -0.268458 
0.467415 0.087042 -0.197447 
0.469330 0.061361 -0.197970 
0.454110 0.084138 -0.254847 
0.457183 0.150558 -0.208373 
0.461479 0.119669 -0.208610 
0.425184 0.191110 -0.304476 
0.467938 0.154196 -0.147645 
0.468143 0.133838 -0.165156 
0.454530 0.173335 -0.202898 
0.427183 0.328437 -0.131694 
0.454671 0.245028 -0.104408 
0.460045 0.201844 -0.140867 
0.465027 0.212256 -0.077635 
0.466616 0.195374 -0.099494 
0.353187 0.386967 -0.368782 
0.466585 0.217484 -0.028815 
0.457796 0.247988 -0.058381 
0.447718 0.287480 -0.042829 
0.457170 0.256672 -0.015168 
0.422810 0.365570 -0.019181 
0.440759 0.303437 0.078071 
0.430714 0.338026 0.062292 
0.370493 0.173527 -0.464997 
0.428231 0.315954 0.152595 
0.440788 0.294333 0.107151 
0.418837 0.359398 0.113457 
0.427399 0.274245 0.222646 
0.418739 0.308463 0.216999 
0.400204 -0.009033 0.424810 
0.459483 0.040094 0.245062 
0.421777 0.260384 0.261329 
0.419840 0.218114 0.304031 
0.426989 0.191086 0.298478 
0.437111 0.201615 0.254453 
0.413303 0.244983 0.305437 
0.430697 0.121495 0.321581 
0.440594 0.140307 0.280729 
0.416576 0.174583 0.340811 
0.435264 0.055500 0.325553 
0.421057 0.099054 0.357401 
0.412857 0.065199 0.387261 
0.431635 -0.005446 0.340986 
0.430219 0.027355 0.344069 
0.406670 0.029652 0.407563 
0.443344 -0.065778 0.297899 
0.427859 -0.060157 0.346757 
0.410217 -0.054099 0.395878 
0.420095 -0.149725 0.342160 
0.458661 -0.133369 0.213198 
0.429231 -0.107917 0.330851 
0.425351 -0.206529 0.293665 
