1074 1025
0.500000 0.000000 0.000000 
0.492359 0.066491 0.000000 
0.483254 0.132743 0.000000 
0.471225 0.198518 0.000000 
0.455429 0.263577 0.000000 
0.436114 0.327682 0.000000 
0.413658 0.390617 0.000000 
0.388854 0.452787 0.000000 
0.362357 0.514692 0.000000 
0.332876 0.574994 0.000000 
0.298687 0.631943 0.000000 
0.258581 0.684271 0.000000 
0.213198 0.732425 0.000000 
0.163592 0.777241 0.000000 
0.110821 0.819552 0.000000 
0.055938 0.860193 0.000000 
0.000000 0.900000 0.000000 
0.000000 0.895666 -0.088215 
0.000000 0.882707 -0.175581 
0.000000 0.861246 -0.261256 
0.000000 0.831492 -0.344415 
0.000000 0.793729 -0.424257 
0.000000 0.748323 -0.500013 
0.000000 0.695709 -0.570954 
0.000000 0.636396 -0.636396 
0.000000 0.570954 -0.695709 
0.000000 0.500013 -0.748323 
0.000000 0.424257 -0.793729 
0.000000 0.344415 -0.831492 
0.000000 0.261256 -0.861246 
0.000000 0.175581 -0.882707 
0.000000 0.088215 -0.895666 
0.000000 0.000000 -0.900000 
0.000000 -0.088215 -0.895666 
0.000000 -0.175581 -0.882707 
0.000000 -0.261256 -0.861246 
0.000000 -0.344415 -0.831492 
0.000000 -0.424257 -0.793729 
0.000000 -0.500013 -0.748323 
0.000000 -0.570954 -0.695709 
0.000000 -0.636396 -0.636396 
0.000000 -0.695709 -0.570954 
0.000000 -0.748323 -0.500013 
0.000000 -0.793729 -0.424257 
0.000000 -0.831492 -0.344415 
0.000000 -0.861246 -0.261256 
0.000000 -0.882707 -0.175581 
0.000000 -0.895666 -0.088215 
0.000000 -0.900000 -0.000000 
0.000000 -0.895666 0.088215 
0.000000 -0.882707 0.175581 
0.000000 -0.861246 0.261256 
0.000000 -0.831492 0.344415 
0.000000 -0.793729 0.424257 
0.000000 -0.748323 0.500013 
0.000000 -0.695709 0.570954 
0.000000 -0.636396 0.636396 
0.000000 -0.570954 0.695709 
0.000000 -0.500013 0.748323 
0.000000 -0.424257 0.793729 
0.000000 -0.344415 0.831492 
0.000000 -0.261256 0.861246 
0.000000 -0.175581 0.882707 
0.000000 -0.088215 0.895666 
0.000000 -0.000000 0.900000 
0.000000 0.088215 0.895666 
0.000000 0.175581 0.882707 
0.000000 0.261256 0.861246 
0.000000 0.344415 0.831492 
0.000000 0.424257 0.793729 
0.000000 0.500013 0.748323 
0.000000 0.570954 0.695709 
0.000000 0.636396 0.636396 
0.000000 0.695709 0.570954 
0.000000 0.748323 0.500013 
0.000000 0.793729 0.424257 
0.000000 0.831492 0.344415 
0.000000 0.861246 0.261256 
0.000000 0.882707 0.175581 
0.000000 0.895666 0.088215 
0.000000 0.900000 0.000000 
0.055938 0.860193 0.000000 
0.110821 0.819552 0.000000 
0.163592 0.777241 0.000000 
0.213198 0.732425 0.000000 
0.258581 0.684271 0.000000 
0.298687 0.631943 0.000000 
0.332876 0.574994 0.000000 
0.362357 0.514692 0.000000 
0.388854 0.452787 0.000000 
0.413658 0.390617 0.000000 
0.436114 0.327682 0.000000 
0.455429 0.263577 0.000000 
0.471225 0.198518 0.000000 
0.483254 0.132743 0.000000 
0.492359 0.066491 0.000000 
0.405857 0.267808 0.311379 
0.463356 0.099788 0.210473 
0.443578 0.054650 0.299368 
0.436048 -0.305978 0.117831 
0.349484 -0.528535 -0.121384 
0.404603 -0.199010 -0.362891 
0.415232 -0.180501 -0.341740 
0.431638 -0.103041 -0.325081 
0.427738 -0.033948 -0.350640 
0.402294 0.083504 -0.411294 
0.423161 0.083008 -0.355543 
0.422483 0.149021 -0.335353 
0.350741 0.000113 -0.539684 
0.461280 0.240618 -0.017943 
0.428117 0.269420 0.225285 
0.456448 -0.033316 0.257673 
0.389363 0.263888 0.366414 
0.425008 0.226031 0.280169 
0.405673 -0.216663 0.349456 
0.431391 -0.244923 0.238328 
0.415324 -0.342989 -0.177594 
0.419471 -0.248329 -0.281224 
0.397540 -0.116475 -0.415497 
0.392882 0.084779 -0.434779 
0.437652 -0.269481 -0.178050 
0.434914 0.187374 -0.273229 
0.451138 0.274741 -0.048162 
0.438788 0.319133 -0.014950 
0.219751 -0.725964 0.005080 
0.383869 0.338187 0.318900 
0.388257 0.293030 0.347079 
0.361611 0.246316 0.453806 
0.351274 0.179287 0.507854 
0.398238 0.169173 0.395093 
0.445266 -0.276127 -0.114205 
0.378343 -0.408771 0.247788 
0.394883 -0.396047 0.187207 
0.405726 -0.394560 0.115213 
0.379605 -0.464788 -0.098055 
0.412513 -0.230454 -0.319090 
0.392265 -0.225713 -0.382902 
0.352160 -0.089909 -0.529131 
0.386471 0.122930 -0.441775 
0.412811 0.222930 -0.323450 
0.410885 0.369592 -0.147218 
0.344596 0.551652 -0.026062 
0.365725 0.490624 0.128488 
0.374826 0.393353 0.285901 
0.338939 0.350517 0.441145 
0.327921 0.277716 0.513852 
0.358998 0.135630 0.504150 
0.383300 0.036497 0.464766 
0.380441 -0.126915 0.455686 
0.353072 -0.265945 0.463980 
0.358098 -0.293317 0.434254 
0.370710 -0.371095 0.328828 
0.345008 -0.510298 0.208997 
0.378408 -0.464171 0.113531 
0.377722 -0.477169 0.046983 
0.371530 -0.456134 -0.189502 
0.393216 -0.310100 -0.315176 
0.393209 -0.250324 -0.364485 
0.381781 -0.245965 -0.400306 
0.380578 -0.161908 -0.444112 
0.315613 -0.027708 -0.604804 
0.331226 0.106634 -0.568139 
0.369161 0.148692 -0.476722 
0.363062 0.210496 -0.467964 
0.369945 0.297359 -0.398950 
0.377918 0.345174 -0.332126 
0.379542 0.423302 -0.215869 
0.382739 0.459335 -0.087221 
0.404002 0.410443 -0.063934 
0.308395 0.598687 0.149752 
0.338738 0.525789 0.203609 
0.322496 0.412613 0.426921 
0.250934 0.370747 0.585534 
0.239998 0.260273 0.655269 
0.330051 0.150373 0.560397 
0.339600 0.052924 0.559664 
0.333448 -0.085340 0.567543 
0.317511 -0.246189 0.549649 
0.320920 -0.430710 0.412614 
0.335890 -0.459842 0.335648 
0.309033 -0.581226 0.204408 
0.328940 -0.571214 0.112835 
0.305357 -0.611195 0.114773 
0.316046 -0.604671 -0.007558 
0.358776 -0.500812 -0.149187 
0.350075 -0.455087 -0.292665 
0.365909 -0.352309 -0.364251 
0.361000 -0.274303 -0.439046 
0.322649 -0.219464 -0.551389 
0.334074 -0.130679 -0.557641 
0.282190 -0.033708 -0.654096 
0.262377 0.114900 -0.670019 
0.244541 0.198980 -0.671270 
0.307338 0.263550 -0.559864 
0.314351 0.379727 -0.474231 
0.325777 0.444819 -0.384470 
0.346600 0.468931 -0.283973 
0.373621 0.457905 -0.171838 
0.362828 0.508659 -0.071407 
0.224552 0.698257 0.180329 
0.271734 0.623418 0.241064 
0.268767 0.555040 0.378968 
0.216125 0.441527 0.580792 
0.281651 0.053738 0.653471 
0.280894 -0.045010 0.655130 
0.258590 -0.228398 0.645017 
0.238846 -0.413963 0.572276 
0.252532 -0.487322 0.490224 
0.271921 -0.535450 0.399677 
0.285013 -0.598813 0.255882 
0.283817 -0.635565 0.149010 
0.284681 -0.651637 0.002440 
0.266362 -0.670942 -0.074017 
0.290708 -0.597791 -0.237890 
0.262662 -0.525747 -0.430413 
0.293135 -0.390819 -0.506776 
0.216810 -0.325029 -0.652410 
0.150520 0.177255 -0.767940 
0.216330 0.475755 -0.552837 
0.256045 0.531251 -0.435930 
0.264650 0.587936 -0.335812 
0.286164 0.617693 -0.201211 
0.276116 0.657688 -0.082698 
0.101808 0.795287 0.224644 
0.121443 0.699127 0.411725 
0.177351 0.621526 0.446725 
0.173233 0.516743 0.569502 
0.158826 0.264714 0.735034 
0.151638 0.124993 0.777225 
0.185342 -0.062169 0.755800 
0.146813 -0.292381 0.735156 
0.151816 -0.414997 0.668767 
0.160378 -0.521018 0.580396 
0.174152 -0.604909 0.473513 
0.186010 0.394926 -0.646704 
0.161020 -0.745169 0.228476 
0.192289 -0.741477 0.125887 
0.252346 -0.691006 0.024578 
0.127641 -0.798358 -0.114351 
0.136750 -0.753398 -0.266926 
0.178862 -0.604133 -0.467822 
0.208680 -0.537544 -0.503883 
0.169638 -0.442678 -0.632585 
0.181431 -0.226443 -0.727396 
0.180063 -0.024491 -0.762641 
0.111163 0.270133 -0.773475 
0.267460 0.282491 -0.611587 
0.078205 0.633302 -0.557894 
0.178721 0.643088 -0.412868 
0.148585 0.754725 -0.232475 
0.438190 0.220372 0.233860 
0.462727 0.035849 0.232745 
0.447696 -0.104611 0.271255 
0.474698 -0.132764 0.123821 
0.423376 -0.357148 0.072891 
0.417482 -0.380365 -0.010553 
0.425338 -0.203977 -0.295489 
0.415605 -0.200491 -0.329258 
0.423255 -0.146994 -0.333924 
0.427784 0.023600 -0.351356 
0.437321 -0.127475 -0.297874 
0.412387 0.082989 -0.385097 
0.433829 0.083734 -0.323900 
0.438874 0.015706 -0.318830 
0.467838 0.204471 0.062891 
0.469107 0.179203 -0.106131 
0.470907 0.197793 -0.029693 
0.460673 0.209798 0.123956 
0.396107 0.265645 0.344531 
0.446983 0.114679 0.269755 
0.429540 0.180829 0.296296 
0.392415 -0.266349 0.355374 
0.449240 -0.185232 0.217240 
0.437372 -0.270771 0.177651 
0.420325 -0.227400 0.295492 
0.426042 -0.170056 -0.313986 
0.412429 -0.297875 0.257622 
0.376852 0.321267 0.358685 
0.487301 -0.004318 -0.105229 
0.483736 -0.125334 -0.033133 
0.445864 -0.292934 -0.047986 
0.446730 -0.069724 -0.285577 
0.409107 -0.199835 -0.349289 
0.397415 -0.196931 -0.384302 
0.413666 -0.074891 -0.383350 
0.413444 0.151813 0.360518 
0.416666 -0.023062 -0.381988 
0.423455 -0.086276 -0.353929 
0.408571 -0.122115 -0.384880 
0.405315 0.036710 -0.410438 
0.450385 0.003897 -0.281520 
0.374440 0.090568 -0.478685 
0.386020 0.086510 -0.451436 
0.391833 0.002434 -0.445524 
0.493600 -0.038892 -0.040598 
0.339945 -0.026613 -0.560856 
0.477067 0.087390 0.144790 
0.407611 0.207125 -0.349474 
0.430229 0.161847 -0.304822 
0.405617 0.372770 0.173838 
0.457858 0.096142 -0.235675 
0.438471 0.268932 0.174283 
0.452844 0.266196 0.060188 
0.416861 0.268797 0.271660 
0.414875 0.316654 0.223219 
0.414571 0.192508 0.337130 
0.396337 0.302692 0.311696 
0.382053 0.279346 0.376960 
0.389096 0.244239 0.380565 
0.356726 0.213167 0.481962 
0.400536 0.204137 0.371713 
0.411892 0.231103 0.320612 
0.375072 0.230569 0.427485 
0.414503 -0.355188 0.157154 
0.399438 -0.223811 -0.363423 
0.431219 -0.018639 0.341737 
0.391879 0.258581 -0.362676 
0.387291 -0.326431 0.319227 
0.476104 0.040273 -0.169544 
0.396577 -0.368175 0.229587 
0.376010 -0.388779 0.287452 
0.400203 -0.416836 -0.082428 
0.492282 0.045110 -0.049709 
0.422026 -0.347367 -0.122175 
0.377803 -0.457734 -0.142100 
0.394968 0.437348 -0.021037 
0.410483 -0.169180 -0.361217 
0.367140 -0.075660 -0.498261 
0.383475 -0.113884 -0.451640 
0.447071 0.270729 -0.111589 
0.348629 -0.055432 -0.541229 
0.337533 0.035666 -0.565041 
0.299881 0.481300 0.406784 
0.394835 0.129766 -0.418525 
0.413422 0.141094 -0.364907 
0.466428 -0.190278 -0.110551 
0.434395 0.296674 -0.150931 
0.437024 0.257227 -0.198498 
0.429344 0.239942 -0.251616 
0.453864 0.258874 -0.074075 
0.422269 0.349435 -0.113997 
0.452407 0.274243 -0.011057 
0.427913 0.346908 -0.058356 
0.347577 -0.322870 -0.440580 
0.374360 -0.032242 0.486297 
0.389087 0.435485 0.121889 
0.413572 0.386283 0.059534 
0.391404 0.351757 0.275136 
0.380735 0.409733 0.234977 
0.363817 0.474820 0.190059 
0.368541 0.373660 0.333418 
0.346191 0.261824 0.482595 
0.366116 0.275688 0.424646 
0.356614 0.325098 0.415084 
0.387598 0.216254 0.401272 
0.322354 0.236994 0.544644 
0.365442 0.166901 0.479595 
0.197268 -0.658941 0.352963 
0.397804 0.070071 0.425125 
0.392720 0.132731 0.423030 
0.371432 0.119672 0.479449 
0.457654 -0.169934 -0.190527 
0.394299 -0.003054 0.439485 
0.366183 -0.259110 0.434783 
0.389336 -0.214539 0.397404 
0.377840 -0.175317 0.445975 
0.350754 -0.289943 0.455153 
0.368162 -0.301195 0.401168 
0.390485 -0.352937 -0.277263 
0.346640 -0.495635 0.234085 
0.361434 -0.447085 0.259092 
0.388502 -0.428844 0.147930 
0.377263 -0.432659 0.209146 
0.357843 -0.487304 0.194233 
0.388440 -0.453726 0.007769 
0.351446 -0.129469 -0.522407 
0.392795 -0.436143 0.078670 
0.376998 -0.477682 -0.057940 
0.362165 -0.502799 -0.111983 
0.343860 -0.544006 -0.103393 
0.407189 -0.299521 -0.276037 
0.403777 -0.346701 -0.229827 
0.401748 -0.244492 -0.342794 
0.405093 -0.266867 -0.314728 
0.112851 -0.578251 0.578568 
0.386347 -0.248718 -0.385606 
0.392915 -0.160335 -0.412845 
0.384455 -0.226310 -0.404406 
0.330021 -0.051835 -0.577956 
0.337644 -0.093440 -0.558184 
0.347212 0.067427 -0.542795 
0.372462 -0.007562 -0.491720 
0.326576 0.004698 -0.586500 
0.379397 0.112172 -0.462091 
0.384201 0.063155 -0.459716 
0.368461 0.061852 -0.497138 
0.376275 0.164849 -0.453872 
0.273987 0.038098 -0.664481 
0.385690 0.247623 -0.388195 
0.392410 0.186642 -0.403000 
0.370764 0.225179 -0.441601 
0.385622 0.316391 -0.334752 
0.376596 0.305076 -0.373331 
0.399646 0.361560 -0.225830 
0.414138 0.247677 -0.300429 
0.391132 0.323009 -0.309338 
0.403798 0.406704 -0.087010 
0.387471 0.433795 -0.141016 
0.396151 0.395350 -0.181310 
0.344443 -0.552437 -0.012355 
0.370452 0.495867 -0.023308 
0.328622 -0.172542 -0.556704 
0.365410 0.503731 0.064777 
0.331787 -0.366696 0.445518 
0.336225 0.502577 0.266090 
0.372839 -0.219993 0.438850 
0.339515 0.545122 0.138034 
0.344503 0.381688 0.399400 
0.327682 0.445854 0.378008 
0.284257 0.353854 0.547873 
0.317067 0.375405 0.471903 
0.305778 0.292134 0.548251 
0.245567 0.316326 0.623344 
0.335452 0.188111 0.538218 
0.272701 0.254410 0.616783 
0.352409 0.068642 0.531778 
0.352571 0.107063 0.525046 
0.325806 0.112226 0.577083 
0.354563 -0.059290 0.528315 
0.367139 0.007307 0.503922 
0.344073 0.019233 0.552984 
0.338983 -0.216365 0.520156 
0.359546 -0.148615 0.499228 
0.336713 -0.130068 0.552638 
0.325717 -0.345655 0.475741 
0.338963 -0.287232 0.484684 
0.319458 -0.285065 0.526780 
0.339421 -0.384816 0.410285 
0.346833 -0.328150 0.438560 
0.336045 -0.526263 0.216394 
0.353826 -0.415461 0.334203 
0.328891 -0.446890 0.373375 
0.321840 -0.551215 0.223672 
0.329718 -0.518679 0.261415 
0.341625 -0.471855 0.298204 
0.341267 -0.541375 0.138835 
0.339041 -0.531763 0.185683 
0.319262 -0.570718 0.182865 
0.362664 0.287278 -0.426239 
0.365824 -0.500368 0.081402 
0.340146 -0.554839 0.083552 
0.334833 -0.570886 0.022168 
0.361673 -0.515931 0.016876 
0.314788 -0.600489 0.087325 
0.339941 -0.505083 -0.245290 
0.342800 -0.535244 -0.149978 
0.326109 -0.585731 -0.043633 
0.371441 -0.404230 -0.284200 
