1074 1025
0.500000 0.000000 0.000000 
0.492359 0.066491 0.000000 
0.483254 0.132743 0.000000 
0.471225 0.198518 0.000000 
0.455429 0.263577 0.000000 
0.436114 0.327682 0.000000 
0.413658 0.390617 0.000000 
0.388854 0.452787 0.000000 
0.362357 0.514692 0.000000 
0.332876 0.574994 0.000000 
0.298687 0.631943 0.000000 
0.258581 0.684271 0.000000 
0.213198 0.732425 0.000000 
0.163592 0.777241 0.000000 
0.110821 0.819552 0.000000 
0.055938 0.860193 0.000000 
0.000000 0.900000 0.000000 
0.000000 0.895666 -0.088215 
0.000000 0.882707 -0.175581 
0.000000 0.861246 -0.261256 
0.000000 0.831492 -0.344415 
0.000000 0.793729 -0.424257 
0.000000 0.748323 -0.500013 
0.000000 0.695709 -0.570954 
0.000000 0.636396 -0.636396 
0.000000 0.570954 -0.695709 
0.000000 0.500013 -0.748323 
0.000000 0.424257 -0.793729 
0.000000 0.344415 -0.831492 
0.000000 0.261256 -0.861246 
0.000000 0.175581 -0.882707 
0.000000 0.088215 -0.895666 
0.000000 0.000000 -0.900000 
0.000000 -0.088215 -0.895666 
0.000000 -0.175581 -0.882707 
0.000000 -0.261256 -0.861246 
0.000000 -0.344415 -0.831492 
0.000000 -0.424257 -0.793729 
0.000000 -0.500013 -0.748323 
0.000000 -0.570954 -0.695709 
0.000000 -0.636396 -0.636396 
0.000000 -0.695709 -0.570954 
0.000000 -0.748323 -0.500013 
0.000000 -0.793729 -0.424257 
0.000000 -0.831492 -0.344415 
0.000000 -0.861246 -0.261256 
0.000000 -0.882707 -0.175581 
0.000000 -0.895666 -0.088215 
0.000000 -0.900000 -0.000000 
0.000000 -0.895666 0.088215 
0.000000 -0.882707 0.175581 
0.000000 -0.861246 0.261256 
0.000000 -0.831492 0.344415 
0.000000 -0.793729 0.424257 
0.000000 -0.748323 0.500013 
0.000000 -0.695709 0.570954 
0.000000 -0.636396 0.636396 
0.000000 -0.570954 0.695709 
0.000000 -0.500013 0.748323 
0.000000 -0.424257 0.793729 
0.000000 -0.344415 0.831492 
0.000000 -0.261256 0.861246 
0.000000 -0.175581 0.882707 
0.000000 -0.088215 0.895666 
0.000000 -0.000000 0.900000 
0.000000 0.088215 0.895666 
0.000000 0.175581 0.882707 
0.000000 0.261256 0.861246 
0.000000 0.344415 0.831492 
0.000000 0.424257 0.793729 
0.000000 0.500013 0.748323 
0.000000 0.570954 0.695709 
0.000000 0.636396 0.636396 
0.000000 0.695709 0.570954 
0.000000 0.748323 0.500013 
0.000000 0.793729 0.424257 
0.000000 0.831492 0.344415 
0.000000 0.861246 0.261256 
0.000000 0.882707 0.175581 
0.000000 0.895666 0.088215 
0.000000 0.900000 0.000000 
0.055938 0.860193 0.000000 
0.110821 0.819552 0.000000 
0.163592 0.777241 0.000000 
0.213198 0.732425 0.000000 
0.258581 0.684271 0.000000 
0.298687 0.631943 0.000000 
0.332876 0.574994 0.000000 
0.362357 0.514692 0.000000 
0.388854 0.452787 0.000000 
0.413658 0.390617 0.000000 
0.436114 0.327682 0.000000 
0.455429 0.263577 0.000000 
0.471225 0.198518 0.000000 
0.483254 0.132743 0.000000 
0.492359 0.066491 0.000000 
0.423425 0.260028 0.255256 
0.465555 0.098012 0.201177 
0.440058 0.068295 0.308044 
0.446639 -0.266675 0.124412 
0.338886 -0.552457 -0.111260 
0.415267 -0.253804 -0.291341 
0.435897 -0.218225 -0.245328 
0.466378 -0.112375 -0.189454 
0.457436 -0.036237 -0.253546 
0.419526 0.094842 -0.362833 
0.442517 0.099732 -0.291122 
0.436586 0.169702 -0.278637 
0.383059 -0.033735 -0.465554 
0.456994 0.257055 -0.019314 
0.434996 0.276861 0.181513 
0.457307 -0.003021 0.256591 
0.413126 0.253787 0.298768 
0.437408 0.214612 0.242381 
0.416460 -0.133836 0.359102 
0.452538 -0.155574 0.225555 
0.430991 -0.325804 -0.106953 
0.437171 -0.278095 -0.167152 
0.415120 -0.144879 -0.358616 
0.410617 0.087388 -0.388826 
0.455416 -0.247097 -0.091880 
0.441356 0.220501 -0.219933 
0.443531 0.299602 -0.054215 
0.432895 0.336881 -0.017213 
0.159332 -0.780806 -0.005428 
0.390387 0.377425 0.243318 
0.405857 0.305073 0.274973 
0.379094 0.270601 0.391880 
0.353477 0.211624 0.490208 
0.404941 0.160803 0.380434 
0.455070 -0.260894 -0.045854 
0.390870 -0.357224 0.270164 
0.409618 -0.349749 0.196363 
0.409384 -0.379087 0.132880 
0.374482 -0.482686 -0.065279 
0.425133 -0.292807 -0.208799 
0.392655 -0.298973 -0.327609 
0.393824 -0.110737 -0.426520 
0.400262 0.127176 -0.405273 
0.417766 0.249465 -0.286318 
0.401034 0.388524 -0.166846 
0.331772 0.575657 -0.040039 
0.359609 0.507396 0.117141 
0.374324 0.435897 0.218175 
0.351779 0.403742 0.354845 
0.346474 0.323332 0.443031 
0.353353 0.168858 0.506809 
0.365462 0.064505 0.503647 
0.364814 -0.042942 0.507401 
0.350564 -0.193889 0.504047 
0.354956 -0.233646 0.476604 
0.369364 -0.330903 0.373381 
0.354643 -0.460070 0.266058 
0.369967 -0.474758 0.148790 
0.366467 -0.499741 0.076056 
0.371394 -0.470394 -0.151683 
0.363445 -0.430261 -0.278029 
0.388079 -0.341767 -0.299863 
0.375481 -0.326390 -0.358396 
0.387577 -0.204452 -0.407467 
0.356228 -0.066870 -0.523820 
0.350542 0.078860 -0.534310 
0.371777 0.153358 -0.468922 
0.358339 0.221421 -0.474380 
0.360567 0.319509 -0.408538 
0.358864 0.392234 -0.344996 
0.342795 0.497284 -0.248394 
0.363421 0.496712 -0.125530 
0.387325 0.447733 -0.089010 
0.293425 0.618341 0.163370 
0.327113 0.551404 0.197049 
0.327272 0.465007 0.355398 
0.258821 0.410512 0.547105 
0.246031 0.293279 0.633950 
0.317034 0.201012 0.568580 
0.301138 0.091894 0.621544 
0.292963 -0.045951 0.638563 
0.288775 -0.186430 0.618584 
0.289623 -0.400997 0.505066 
0.311120 -0.448801 0.417235 
0.292930 -0.577524 0.276404 
0.307771 -0.599027 0.152420 
0.276240 -0.646522 0.145572 
0.287461 -0.647296 -0.027304 
0.352548 -0.520731 -0.126601 
0.326563 -0.518849 -0.273544 
0.324567 -0.472255 -0.353814 
0.332147 -0.373246 -0.439170 
0.298190 -0.298025 -0.558085 
0.357174 -0.180143 -0.494226 
0.300135 -0.097004 -0.622283 
0.288969 0.067576 -0.642254 
0.262970 0.162987 -0.659243 
0.288254 0.283030 -0.581570 
0.291458 0.387780 -0.512076 
0.291606 0.481707 -0.424602 
0.299059 0.542497 -0.323042 
0.340044 0.519835 -0.211713 
0.341191 0.548072 -0.110214 
0.208008 0.711831 0.192603 
0.244792 0.649328 0.261120 
0.236537 0.593165 0.387939 
0.205186 0.472237 0.569876 
0.226335 0.088624 0.713876 
0.213103 -0.031897 0.731822 
0.205387 -0.187989 0.715643 
0.203151 -0.374256 0.640738 
0.200287 -0.462637 0.583583 
0.215391 -0.526395 0.506186 
0.253562 -0.609589 0.323397 
0.249458 -0.670129 0.183113 
0.239773 -0.704757 -0.027916 
0.219709 -0.716922 -0.114598 
0.254536 -0.640119 -0.254749 
0.202664 -0.583847 -0.458710 
0.242241 -0.466969 -0.525025 
0.181350 -0.375617 -0.662874 
0.159298 0.124961 -0.770790 
0.194414 0.479582 -0.576818 
0.207563 0.555751 -0.485353 
0.203909 0.639153 -0.375551 
0.210521 0.694250 -0.241383 
0.238837 0.696637 -0.116507 
0.096651 0.796538 0.234330 
0.097459 0.714594 0.421581 
0.133656 0.649064 0.470660 
0.143226 0.547302 0.575344 
0.154330 0.280119 0.733309 
0.123791 0.131825 0.798718 
0.135295 -0.046748 0.799081 
0.116631 -0.268303 0.769660 
0.129160 -0.389070 0.705088 
0.139285 -0.503228 0.618366 
0.146936 -0.595342 0.520913 
0.174044 0.412583 -0.648113 
0.131092 -0.756126 0.272659 
0.154022 -0.769797 0.154990 
0.191314 -0.752939 0.007208 
0.090188 -0.822546 -0.144396 
0.094780 -0.774913 -0.302033 
0.133821 -0.638341 -0.484889 
0.145689 -0.577050 -0.542590 
0.122443 -0.469179 -0.660987 
0.154479 -0.277870 -0.734032 
0.150182 -0.099352 -0.782124 
0.115673 0.233108 -0.781812 
0.255022 0.298656 -0.620231 
0.058411 0.649705 -0.561024 
0.122645 0.684705 -0.433538 
0.106949 0.780326 -0.260018 
0.446883 0.215744 0.198922 
0.462998 0.045778 0.229877 
0.453052 -0.047247 0.268045 
0.480081 -0.103465 0.111572 
0.426669 -0.343037 0.092586 
0.418236 -0.377677 0.024869 
0.452319 -0.223954 -0.159208 
0.433573 -0.252303 -0.220855 
0.452255 -0.168053 -0.217683 
0.454132 0.032619 -0.266309 
0.468397 -0.131579 -0.165522 
0.430036 0.097246 -0.331724 
0.454506 0.103875 -0.245906 
0.468159 0.025684 -0.210949 
0.467734 0.208921 0.048088 
0.472550 0.166380 -0.096218 
0.467415 0.213679 -0.030054 
0.462025 0.215533 0.101684 
0.416896 0.256361 0.283300 
0.448058 0.113359 0.266392 
0.437375 0.170118 0.275555 
0.401410 -0.197214 0.372966 
0.462859 -0.115384 0.204670 
0.456678 -0.196174 0.169043 
0.437056 -0.141617 0.292317 
0.454413 -0.195127 -0.182661 
0.434340 -0.216676 0.252898 
0.388816 0.356648 0.279108 
0.490027 -0.015064 -0.083682 
0.484692 -0.123210 -0.006019 
0.450374 -0.281576 0.002219 
0.475122 -0.067192 -0.166316 
0.421465 -0.258432 -0.264454 
0.404768 -0.251857 -0.327898 
0.438454 -0.088457 -0.308071 
0.416344 0.143428 0.355712 
0.441608 -0.025393 -0.309594 
0.453036 -0.097251 -0.254268 
0.429690 -0.144609 -0.315084 
0.426189 0.042521 -0.354122 
0.473566 0.027003 -0.185268 
0.386480 0.087754 -0.450064 
0.401791 0.084495 -0.412377 
0.415459 -0.009147 -0.385774 
0.492237 -0.059335 -0.032160 
0.380098 -0.064013 -0.469502 
0.479476 0.084628 0.130671 
0.414231 0.228976 -0.314612 
0.442222 0.188062 -0.244771 
0.400528 0.405062 0.125630 
0.467937 0.117549 -0.178214 
0.440554 0.281881 0.138271 
0.450956 0.275806 0.045692 
0.429004 0.269318 0.221431 
0.417521 0.339722 0.171170 
0.425662 0.177165 0.311257 
0.409462 0.318787 0.244087 
0.403370 0.286991 0.302508 
0.410907 0.230236 0.324372 
0.368102 0.239633 0.440870 
0.414892 0.186872 0.339322 
0.427637 0.216197 0.278501 
0.392811 0.237792 0.373937 
0.429097 -0.309036 0.160851 
0.402528 -0.299355 -0.293308 
0.424411 0.021581 0.360996 
0.390119 0.284131 -0.348582 
0.396212 -0.269123 0.341491 
0.482797 0.045298 -0.127858 
0.416724 -0.302846 0.233693 
0.380822 -0.344842 0.322465 
0.400523 -0.422111 -0.041131 
0.494169 0.027470 -0.043462 
0.433140 -0.331175 -0.060166 
0.376937 -0.469740 -0.104974 
0.385774 0.459397 -0.027905 
0.429327 -0.204267 -0.281409 
0.401147 -0.101658 -0.410143 
0.400592 -0.150086 -0.396481 
0.447009 0.271916 -0.109227 
0.391509 -0.088116 -0.437537 
0.368416 -0.004573 -0.501053 
0.288474 0.525393 0.376698 
0.406099 0.143976 -0.383987 
0.426409 0.159522 -0.318309 
0.473874 -0.179265 -0.048429 
0.433385 0.301851 -0.147288 
0.429955 0.291425 -0.186360 
0.424682 0.284599 -0.221906 
0.449052 0.275260 -0.078124 
0.412513 0.371265 -0.130731 
0.448589 0.287450 -0.012163 
0.414926 0.380086 -0.074345 
0.306519 -0.435337 -0.441558 
0.351071 0.010335 0.538896 
0.384468 0.453222 0.096543 
0.409563 0.398768 0.044494 
0.392764 0.392750 0.205487 
0.377711 0.444867 0.178928 
0.357614 0.498890 0.163767 
0.372281 0.419412 0.257586 
0.363356 0.299324 0.415975 
0.386182 0.304194 0.344071 
0.370736 0.369376 0.330669 
0.405286 0.205747 0.357124 
0.332060 0.280059 0.503921 
0.368593 0.189298 0.463504 
0.158197 -0.658724 0.421013 
0.385228 0.090074 0.452688 
0.390117 0.136875 0.428380 
0.363640 0.145032 0.490864 
0.473101 -0.160461 -0.100836 
0.376965 0.035934 0.479915 
0.366703 -0.188668 0.468392 
0.393919 -0.130952 0.420510 
0.370309 -0.067697 0.492108 
0.347102 -0.225123 0.498736 
0.366745 -0.245324 0.441256 
0.380416 -0.415870 -0.225536 
0.354277 -0.446005 0.290447 
0.368655 -0.401403 0.299007 
0.393237 -0.409264 0.167197 
0.389416 -0.387719 0.231203 
0.365773 -0.449292 0.235047 
0.380100 -0.472344 0.037631 
0.371108 -0.168998 -0.465158 
0.387105 -0.443776 0.109249 
0.367839 -0.501397 -0.031501 
0.353619 -0.525712 -0.091621 
0.329934 -0.571431 -0.101846 
0.399750 -0.372032 -0.207598 
0.421245 -0.338310 -0.150709 
0.401917 -0.337783 -0.250660 
0.398427 -0.357986 -0.236984 
0.098452 -0.575544 0.596561 
0.379758 -0.336776 -0.334484 
0.403665 -0.198280 -0.365980 
0.381089 -0.300022 -0.363713 
0.375534 -0.083406 -0.477389 
0.386384 -0.119804 -0.442851 
0.369304 0.041190 -0.497344 
0.399151 -0.033391 -0.426218 
0.364617 -0.040235 -0.508066 
0.390844 0.112165 -0.433673 
0.401389 0.060018 -0.417659 
0.384664 0.053360 -0.459835 
0.380156 0.174261 -0.440492 
0.307352 -0.012437 -0.618647 
0.384109 0.269655 -0.377914 
0.396828 0.203584 -0.382466 
0.366363 0.239889 -0.445216 
0.373440 0.354709 -0.337342 
0.365781 0.334906 -0.380698 
0.369215 0.435525 -0.244066 
0.414469 0.283346 -0.265783 
0.374784 0.375233 -0.309452 
0.387271 0.441515 -0.116494 
0.366659 0.474129 -0.174038 
0.368290 0.455378 -0.209744 
0.324808 -0.589471 -0.015189 
0.359823 0.519199 -0.033440 
0.325230 -0.238051 -0.538663 
0.361800 0.512227 0.061676 
0.314797 -0.316287 0.517839 
0.325279 0.535274 0.245363 
0.372366 -0.133041 0.473671 
0.329800 0.563305 0.140991 
0.351553 0.435022 0.316523 
0.325962 0.492749 0.320141 
0.300261 0.401546 0.484944 
0.329020 0.431260 0.390974 
0.325518 0.339841 0.480343 
0.258643 0.354875 0.584972 
0.335050 0.228907 0.523005 
0.281804 0.293773 0.585957 
0.324611 0.111542 0.579376 
0.338620 0.152044 0.543187 
0.299145 0.163465 0.609736 
0.321767 -0.016638 0.594760 
0.341069 0.039455 0.557891 
0.305647 0.050795 0.619349 
0.317975 -0.139084 0.585180 
0.336790 -0.071917 0.563016 
0.304410 -0.072026 0.619161 
0.309129 -0.290100 0.543378 
0.330334 -0.217119 0.537508 
0.295973 -0.225368 0.594630 
0.319733 -0.344230 0.489593 
0.339101 -0.270884 0.493700 
0.344104 -0.470973 0.290304 
0.341401 -0.390022 0.399938 
0.295589 -0.429844 0.469378 
0.314821 -0.526498 0.301573 
0.323392 -0.488489 0.334714 
0.326708 -0.457158 0.367061 
0.327991 -0.550966 0.193549 
0.336092 -0.506739 0.258633 
0.307008 -0.565106 0.253379 
0.352857 0.303675 -0.440761 
0.352366 -0.523988 0.114174 
0.320571 -0.586869 0.109837 
0.311180 -0.612420 0.018172 
0.345312 -0.549692 0.035309 
0.284288 -0.643436 0.106366 
0.315009 -0.561842 -0.228261 
0.330546 -0.561828 -0.141254 
0.303043 -0.622509 -0.060308 
0.357721 -0.461775 -0.249464 
