5379 5250
0.700000 0.800000 -1.200000 
0.758881 0.800000 -1.198555 
0.817621 0.800000 -1.194222 
0.876077 0.800000 -1.187012 
0.934108 0.800000 -1.176942 
0.991576 0.800000 -1.164038 
1.048342 0.800000 -1.148328 
1.104268 0.800000 -1.129853 
1.159220 0.800000 -1.108655 
1.213066 0.800000 -1.084787 
1.265676 0.800000 -1.058306 
1.316923 0.800000 -1.029274 
1.366684 0.800000 -0.997764 
1.414839 0.800000 -0.963849 
1.461272 0.800000 -0.927613 
1.505871 0.800000 -0.889141 
1.548528 0.800000 -0.848528 
1.589141 0.800000 -0.805871 
1.627613 0.800000 -0.761272 
1.663849 0.800000 -0.714839 
1.697764 0.800000 -0.666684 
1.729274 0.800000 -0.616923 
1.758306 0.800000 -0.565676 
1.784787 0.800000 -0.513066 
1.808655 0.800000 -0.459220 
1.829853 0.800000 -0.404268 
1.848328 0.800000 -0.348342 
1.864038 0.800000 -0.291576 
1.876942 0.800000 -0.234108 
1.887012 0.800000 -0.176077 
1.894222 0.800000 -0.117621 
1.898555 0.800000 -0.058881 
1.900000 0.800000 -0.000000 
1.898555 0.800000 0.058881 
1.894222 0.800000 0.117621 
1.887012 0.800000 0.176077 
1.876942 0.800000 0.234108 
1.864038 0.800000 0.291576 
1.848328 0.800000 0.348342 
1.829853 0.800000 0.404268 
1.808655 0.800000 0.459220 
1.784787 0.800000 0.513066 
1.758306 0.800000 0.565676 
1.729274 0.800000 0.616923 
1.697764 0.800000 0.666684 
1.663849 0.800000 0.714839 
1.627613 0.800000 0.761272 
1.589141 0.800000 0.805871 
1.548528 0.800000 0.848528 
1.505871 0.800000 0.889141 
1.461272 0.800000 0.927613 
1.414839 0.800000 0.963849 
1.366684 0.800000 0.997764 
1.316923 0.800000 1.029274 
1.265676 0.800000 1.058306 
1.213066 0.800000 1.084787 
1.159220 0.800000 1.108655 
1.104268 0.800000 1.129853 
1.048342 0.800000 1.148328 
0.991576 0.800000 1.164038 
0.934108 0.800000 1.176942 
0.876077 0.800000 1.187012 
0.817621 0.800000 1.194222 
0.758881 0.800000 1.198555 
0.700000 0.800000 1.200000 
0.654751 0.800000 1.199146 
0.609567 0.800000 1.196587 
0.564511 0.800000 1.192326 
0.519648 0.800000 1.186368 
0.475042 0.800000 1.178724 
0.430755 0.800000 1.169403 
0.386852 0.800000 1.158419 
0.343394 0.800000 1.145787 
0.300443 0.800000 1.131526 
0.258060 0.800000 1.115655 
0.216306 0.800000 1.098198 
0.175240 0.800000 1.079178 
0.134921 0.800000 1.058624 
0.095405 0.800000 1.036564 
0.056749 0.800000 1.013030 
0.019008 0.800000 0.988054 
-0.017765 0.800000 0.961673 
-0.053516 0.800000 0.933925 
-0.088196 0.800000 0.904848 
-0.121755 0.800000 0.874484 
-0.154145 0.800000 0.842875 
-0.185320 0.800000 0.810069 
-0.215235 0.800000 0.776109 
-0.243849 0.800000 0.741046 
-0.271121 0.800000 0.704929 
-0.297011 0.800000 0.667809 
-0.321483 0.800000 0.629739 
-0.344503 0.800000 0.590774 
-0.366036 0.800000 0.550968 
-0.386054 0.800000 0.510379 
-0.404526 0.800000 0.469064 
-0.421428 0.800000 0.427081 
-0.405612 0.786161 0.466294 
-0.388426 0.771123 0.504475 
-0.369907 0.754919 0.541540 
-0.350098 0.737585 0.577407 
-0.329041 0.719161 0.611997 
-0.306783 0.699685 0.645233 
-0.283373 0.679202 0.677041 
-0.258864 0.657756 0.707351 
-0.233310 0.635396 0.736097 
-0.206766 0.612170 0.763214 
-0.179292 0.588130 0.788642 
-0.150949 0.563330 0.812326 
-0.121798 0.537824 0.834213 
-0.091906 0.511668 0.854254 
-0.061337 0.484920 0.872405 
-0.030160 0.457640 0.888626 
0.001556 0.429888 0.902881 
0.033742 0.401725 0.915138 
0.066327 0.373214 0.925371 
0.099237 0.344418 0.933557 
0.132400 0.315400 0.939677 
0.165744 0.286224 0.943719 
0.199193 0.256956 0.945672 
0.232675 0.227659 0.945533 
0.266115 0.198400 0.943303 
0.299439 0.169241 0.938986 
0.332573 0.140249 0.932591 
0.365444 0.111486 0.924133 
0.397980 0.083018 0.913630 
0.430108 0.054906 0.901106 
0.461757 0.027213 0.886589 
0.492857 -0.000000 0.870110 
0.516564 -0.020743 0.855997 
0.539867 -0.041134 0.840745 
0.562736 -0.061144 0.824372 
0.585140 -0.080748 0.806902 
0.607050 -0.099919 0.788357 
0.628436 -0.118631 0.768762 
0.649269 -0.136860 0.748144 
0.669522 -0.154582 0.726529 
0.689169 -0.171773 0.703946 
0.708182 -0.188409 0.680426 
0.726537 -0.204470 0.656000 
0.744208 -0.219932 0.630701 
0.761174 -0.234777 0.604561 
0.777410 -0.248984 0.577616 
0.792896 -0.262534 0.549903 
0.807610 -0.275409 0.521456 
0.821533 -0.287591 0.492316 
0.834647 -0.299066 0.462519 
0.846934 -0.309817 0.432107 
0.858378 -0.319830 0.401119 
0.868963 -0.329092 0.369597 
0.878675 -0.337591 0.337583 
0.887502 -0.345314 0.305119 
0.895432 -0.352253 0.272249 
0.902454 -0.358397 0.239017 
0.908558 -0.363738 0.205466 
0.913738 -0.368270 0.171641 
0.917985 -0.371986 0.137588 
0.921294 -0.374882 0.103352 
