147 125
3.443770 0.004191 0.000000 
3.230777 0.088563 0.000000 
3.014892 0.165230 0.000000 
2.796407 0.234144 0.000000 
2.575595 0.295192 0.000000 
2.352711 0.348179 0.000000 
2.128008 0.392824 0.000000 
1.901747 0.428739 0.000000 
1.674212 0.455420 0.000000 
1.445751 0.472227 0.000000 
1.216708 0.476240 0.000000 
0.988152 0.461272 0.000000 
0.761837 0.426007 0.000000 
0.540031 0.369048 0.000000 
0.325883 0.287912 0.000000 
0.223464 0.236669 0.000000 
0.126206 0.176201 0.000000 
0.080778 0.141337 0.000000 
0.039214 0.101945 0.000000 
0.006267 0.056104 0.000000 
0.000000 0.000000 0.000000 
0.174200 0.026397 -0.301724 
0.348401 0.052795 -0.603448 
0.522601 0.079192 -0.905171 
0.696801 0.105590 -1.206895 
0.709983 0.169393 -1.206895 
0.752876 0.218433 -1.206895 
0.858829 0.296056 -1.206895 
0.974820 0.357681 -1.206895 
1.158893 0.430012 -1.206895 
1.349666 0.482166 -1.206895 
1.690618 0.530868 -1.206895 
2.035032 0.530936 -1.206895 
2.355998 0.501062 -1.206895 
2.674400 0.450740 -1.206895 
2.913826 0.399982 -1.206895 
3.150854 0.338996 -1.206895 
3.515167 0.224193 -1.206895 
3.871292 0.086070 -1.206895 
3.764412 0.065601 -0.905171 
3.657531 0.045131 -0.603448 
3.550650 0.024661 -0.301724 
3.295124 0.129491 -0.323206 
1.704445 0.490655 -0.434663 
0.593911 0.349077 -0.303690 
2.582365 0.323317 -0.189132 
0.826464 0.387799 -0.637651 
2.679555 0.359170 -0.574517 
2.312100 0.453343 -0.733291 
2.258122 0.425322 -0.433522 
1.484683 0.484928 -0.204949 
1.522446 0.509723 -0.695912 
0.467616 0.262545 -0.452507 
0.731260 0.311814 -0.850302 
0.363392 0.228675 -0.346299 
0.195995 0.142873 -0.234247 
0.391275 0.159372 -0.596381 
1.222180 0.484804 -0.374822 
0.493821 0.330619 -0.168064 
1.284490 0.485576 -0.208578 
1.461484 0.498023 -0.428744 
1.314799 0.491888 -0.391112 
0.505956 0.313280 -0.302280 
3.181773 0.200013 -0.481972 
3.031365 0.293202 -0.738373 
3.296413 0.236768 -0.881523 
0.488925 0.253014 -0.537860 
2.825084 0.333423 -0.640283 
2.754329 0.311035 -0.387136 
3.144634 0.306582 -1.006858 
2.906851 0.346396 -0.852775 
2.413377 0.388686 -0.375561 
2.575026 0.372278 -0.501538 
3.022538 0.271412 -0.597874 
1.998665 0.505797 -0.872571 
1.911882 0.472429 -0.426803 
1.698418 0.472625 -0.213425 
2.033160 0.515969 -1.021532 
1.216422 0.481987 -0.625127 
2.156443 0.417979 -0.237530 
2.127342 0.456869 -0.528793 
3.242314 0.233929 -0.770709 
0.754879 0.389105 -0.429036 
0.935858 0.447300 -0.264282 
0.959935 0.416859 -0.760728 
0.625655 0.254694 -0.835627 
2.942303 0.313159 -0.707645 
1.768973 0.516661 -0.834865 
1.765833 0.500641 -0.610078 
1.981244 0.495745 -0.744077 
0.540836 0.300786 -0.452232 
0.713494 0.353762 -0.581133 
0.801420 0.359560 -0.768110 
3.469797 0.125446 -0.627252 
3.218318 0.213036 -0.616260 
0.807508 0.333829 -0.925773 
0.653113 0.233939 -0.959415 
0.972599 0.391039 -1.002685 
0.968065 0.422528 -0.728814 
2.673875 0.422915 -1.002472 
2.516820 0.417971 -0.738718 
2.148085 0.470294 -0.675343 
2.202240 0.481499 -0.843329 
2.320542 0.435418 -0.598495 
1.443739 0.506825 -0.955920 
0.238169 0.190198 -0.198816 
0.185418 0.097565 -0.293036 
0.686296 0.390391 -0.220406 
3.013919 0.210733 -0.243695 
0.360711 0.276427 -0.142265 
3.070380 0.300835 -0.848388 
2.790972 0.271066 -0.206004 
2.914120 0.371271 -1.021124 
2.572398 0.351241 -0.356007 
2.948424 0.269670 -0.462160 
1.923772 0.449245 -0.213892 
1.978668 0.481933 -0.595586 
2.064704 0.450779 -0.397372 
0.974912 0.441855 -0.512915 
0.552632 0.164164 -0.909246 
3.132727 0.290795 -0.896047 
1.848573 0.505114 -0.732264 
2.376054 0.371666 -0.199088 
0.422690 0.271552 -0.310650 
0.729372 0.343862 -0.681210 
3.437240 0.193857 -0.909663 
3.317272 0.180713 -0.624298 
0.823565 0.318418 -1.036195 
1.168334 0.460503 -0.903926 
2.729589 0.382911 -0.809336 
3.118133 0.255989 -0.674762 
2.110612 0.483273 -0.754172 
2.363091 0.473363 -0.968175 
2.209806 0.455502 -0.619894 
2.461746 0.403941 -0.556476 
1.078236 0.470391 -0.165021 
3.136647 0.229747 -0.562345 
1.220451 0.478579 -0.761215 
1.733471 0.526643 -1.009203 
0.647890 0.348650 -0.446175 
0.555801 0.246181 -0.710779 
0.893168 0.381403 -0.861770 
0.687793 0.253633 -0.974915 
0.284667 0.230675 -0.162962 
0.352031 0.194742 -0.429432 
0.621666 0.315476 -0.572215 
0.681314 0.317070 -0.707248 

18 106 56 19
106 144 124 55
56 106 55 145
56 107 20 19
107 57 23 22
20 107 22 21
24 120 26 25
57 120 24 23
14 108 59 15
84 58 79 119
59 108 83 45
-2 -2 -2 -2
127 94 126 82
115 69 112 109
59 110 16 15
63 110 59 45
16 110 144 17
42 43 2 1
43 94 127 64
38 126 40 39
-2 -2 -2 -2
82 111 65 131
55 53 67 145
112 46 5 4
109 112 4 3
115 68 48 69
100 130 71 113
71 111 70 113
36 113 70 37
73 114 69 48
72 135 104 50
112 69 114 46
88 75 78 139
74 115 64 137
68 115 74 87
8 116 77 9
116 80 118 76
77 116 76 44
61 52 79 58
43 64 115 109
89 44 76 117
81 118 80 50
76 118 81 117
116 8 7 80
51 60 11 10
77 51 10 9
61 51 77 44
84 108 14 13
83 108 84 119
99 47 83 119
120 97 27 26
43 109 3 2
71 87 65 111
70 126 38 37
68 130 101 48
90 122 89 117
88 122 90 75
89 122 88 52
6 123 80 7
46 123 6 5
80 123 72 50
140 91 124 63
55 124 91 53
106 18 17 144
147 125 93 54
92 125 147 146
93 125 92 47
40 126 94 41
70 111 82 126
-2 -2 -2 -2
64 127 95 137
94 43 42 41
131 95 127 82
97 128 28 27
96 128 97 54
128 98 29 28
129 105 31 30
98 129 30 29
-2 -2 -2 -2
68 87 71 130
100 113 36 35
133 103 49 101
95 131 74 137
114 72 123 46
74 131 65 87
90 132 103 75
102 132 90 117
103 132 102 49
34 133 100 35
78 75 103 133
133 101 130 100
102 134 104 49
81 134 102 117
104 134 81 50
101 135 73 48
104 135 101 49
72 114 73 135
12 136 84 13
60 136 12 11
84 136 60 58
78 133 34 33
61 44 89 52
