147 125
3.443770 0.004191 0.000000 
3.230777 0.088563 0.000000 
3.014892 0.165230 0.000000 
2.796407 0.234144 0.000000 
2.575595 0.295192 0.000000 
2.352711 0.348179 0.000000 
2.128008 0.392824 0.000000 
1.901747 0.428739 0.000000 
1.674212 0.455420 0.000000 
1.445751 0.472227 0.000000 
1.216708 0.476240 0.000000 
0.988152 0.461272 0.000000 
0.761837 0.426007 0.000000 
0.540031 0.369048 0.000000 
0.325883 0.287912 0.000000 
0.223464 0.236669 0.000000 
0.126206 0.176201 0.000000 
0.080778 0.141337 0.000000 
0.039214 0.101945 0.000000 
0.006267 0.056104 0.000000 
0.000000 0.000000 0.000000 
0.174200 0.026397 -0.301724 
0.348401 0.052795 -0.603448 
0.522601 0.079192 -0.905171 
0.696801 0.105590 -1.206895 
0.709983 0.169393 -1.206895 
0.752876 0.218433 -1.206895 
0.858829 0.296056 -1.206895 
0.974820 0.357681 -1.206895 
1.158893 0.430012 -1.206895 
1.349666 0.482166 -1.206895 
1.690618 0.530868 -1.206895 
2.035032 0.530936 -1.206895 
2.355998 0.501062 -1.206895 
2.674400 0.450740 -1.206895 
2.913826 0.399982 -1.206895 
3.150854 0.338996 -1.206895 
3.515167 0.224193 -1.206895 
3.871292 0.086070 -1.206895 
3.764412 0.065601 -0.905171 
3.657531 0.045131 -0.603448 
3.550650 0.024661 -0.301724 
3.304758 0.124929 -0.318104 
1.704445 0.490655 -0.434663 
0.686249 0.378798 -0.325830 
2.563339 0.335306 -0.236941 
0.809357 0.381654 -0.638753 
2.539738 0.376640 -0.478095 
2.290050 0.447054 -0.652273 
2.136425 0.441546 -0.406657 
1.451625 0.485820 -0.202204 
1.501985 0.508853 -0.693537 
0.467616 0.262545 -0.452507 
0.731260 0.311814 -0.850302 
0.363392 0.228675 -0.346299 
0.195995 0.142873 -0.234247 
0.391275 0.159372 -0.596381 
1.127943 0.474672 -0.358001 
0.527526 0.344300 -0.163219 
1.213918 0.481400 -0.172621 
1.433984 0.497451 -0.424232 
1.314799 0.491888 -0.391112 
0.534460 0.325250 -0.304180 
3.208989 0.189638 -0.475713 
3.031365 0.293202 -0.738373 
3.296413 0.236768 -0.881523 
0.488925 0.253014 -0.537860 
2.785348 0.322494 -0.508234 
2.767742 0.304677 -0.369890 
3.144634 0.306582 -1.006858 
2.908695 0.340276 -0.817782 
2.330578 0.413271 -0.439388 
2.569390 0.373344 -0.500260 
3.052582 0.257553 -0.570602 
1.998665 0.505797 -0.872571 
1.933170 0.467904 -0.404522 
1.698418 0.472625 -0.213425 
2.033160 0.515969 -1.021532 
1.172951 0.475152 -0.628375 
2.134718 0.417599 -0.205352 
2.101859 0.460252 -0.528032 
3.242314 0.233929 -0.770709 
0.770834 0.387132 -0.490456 
0.906342 0.446133 -0.162504 
0.959935 0.416859 -0.760728 
0.625655 0.254694 -0.835627 
2.937857 0.304719 -0.649872 
1.768973 0.516661 -0.834865 
1.765833 0.500641 -0.610078 
1.981244 0.495745 -0.744077 
0.540836 0.300786 -0.452232 
0.699207 0.347338 -0.584999 
0.801420 0.359560 -0.768110 
3.469797 0.125446 -0.627252 
3.218318 0.213036 -0.616260 
0.807508 0.333829 -0.925773 
0.653113 0.233939 -0.959415 
0.972599 0.391039 -1.002685 
0.958111 0.419679 -0.728094 
2.673875 0.422915 -1.002472 
2.477834 0.423091 -0.721117 
2.128744 0.464162 -0.596071 
2.202240 0.481499 -0.843329 
2.280995 0.438366 -0.569149 
1.443739 0.506825 -0.955920 
0.238169 0.190198 -0.198816 
0.185418 0.097565 -0.293036 
0.709405 0.401795 -0.169211 
3.033125 0.204535 -0.243521 
0.384604 0.285524 -0.154427 
3.070380 0.300835 -0.848388 
2.791255 0.277868 -0.246839 
2.914120 0.371271 -1.021124 
2.564325 0.355087 -0.369184 
3.018029 0.245077 -0.441082 
1.919771 0.448932 -0.206259 
1.955780 0.483273 -0.585230 
2.064704 0.450779 -0.397372 
0.942165 0.431570 -0.546140 
0.552632 0.164164 -0.909246 
3.132727 0.290795 -0.896047 
1.848573 0.505114 -0.732264 
2.346235 0.380733 -0.220177 
0.422690 0.271552 -0.310650 
0.729372 0.343862 -0.681210 
3.437240 0.193857 -0.909663 
3.317272 0.180713 -0.624298 
0.823565 0.318418 -1.036195 
1.155657 0.457117 -0.909191 
2.709619 0.380488 -0.762460 
3.118133 0.255989 -0.674762 
2.110612 0.483273 -0.754172 
2.363091 0.473363 -0.968175 
2.179771 0.456127 -0.587456 
2.483155 0.401735 -0.571526 
1.039565 0.466363 -0.118435 
3.162804 0.219729 -0.553952 
0.870723 0.428791 -0.347104 
1.733471 0.526643 -1.009203 
0.638325 0.343826 -0.452588 
0.555801 0.246181 -0.710779 
0.893168 0.381403 -0.861770 
0.687793 0.253633 -0.974915 
0.284667 0.230675 -0.162962 
0.352031 0.194742 -0.429432 
0.621666 0.315476 -0.572215 
0.681314 0.317070 -0.707248 

18 106 56 19
106 144 124 55
56 106 55 145
56 107 20 19
107 57 23 22
20 107 22 21
24 120 26 25
57 120 24 23
14 108 59 15
138 58 79 119
45 138 119 83
-2 -2 -2 -2
127 94 126 82
115 68 112 109
59 110 16 15
63 110 59 45
16 110 144 17
42 43 2 1
43 94 127 64
38 126 40 39
-2 -2 -2 -2
82 111 65 131
55 53 67 145
112 46 5 4
109 112 4 3
-2 -2 -2 -2
100 130 71 113
71 111 70 113
36 113 70 37
-2 -2 -2 -2
-2 -2 -2 -2
112 68 48 46
88 75 78 139
74 115 64 137
68 115 74 87
8 116 77 9
116 80 50 76
77 116 76 44
61 52 79 58
43 64 115 109
89 44 76 117
-2 -2 -2 -2
76 50 102 117
116 8 7 80
51 60 11 10
77 51 10 9
61 51 77 44
84 108 14 13
45 59 108 138
99 47 83 119
120 97 27 26
43 109 3 2
71 87 65 111
70 126 38 37
68 130 101 48
90 122 89 117
88 122 90 75
89 122 88 52
6 123 80 7
46 123 6 5
80 123 72 50
140 91 124 63
55 124 91 53
106 18 17 144
147 125 93 54
92 125 147 146
93 125 92 47
40 126 94 41
70 111 82 126
-2 -2 -2 -2
64 127 95 137
94 43 42 41
131 95 127 82
97 128 28 27
96 128 97 54
128 98 29 28
129 105 31 30
98 129 30 29
-2 -2 -2 -2
68 87 71 130
100 113 36 35
133 103 49 101
95 131 74 137
48 72 123 46
74 131 65 87
90 132 103 75
102 132 90 117
103 132 102 49
34 133 100 35
78 75 103 133
133 101 130 100
102 50 72 49
-2 -2 -2 -2
-2 -2 -2 -2
-2 -2 -2 -2
72 48 101 49
-2 -2 -2 -2
12 136 84 13
