145 122
0.000000 0.000000 0.000000 
0.039986 -0.035588 0.000000 
0.091966 -0.048371 0.000000 
0.146038 -0.052181 0.000000 
0.200239 -0.051514 0.000000 
0.308352 -0.043359 0.000000 
0.416027 -0.030676 0.000000 
0.630801 -0.000727 0.000000 
0.845646 0.028709 0.000000 
1.061084 0.053375 0.000000 
1.277238 0.070675 0.000000 
1.493896 0.079811 0.000000 
1.710669 0.085635 0.000000 
1.927503 0.088368 0.000000 
2.144353 0.087475 0.000000 
2.361149 0.082602 0.000000 
2.577811 0.073550 0.000000 
2.794254 0.060251 0.000000 
3.010397 0.042751 0.000000 
3.226174 0.021194 0.000000 
3.441534 -0.004191 0.000000 
3.548444 0.016446 -0.301724 
3.655355 0.037084 -0.603448 
3.762265 0.057721 -0.905171 
3.869175 0.078359 -1.206895 
3.569789 0.114528 -1.206895 
3.269519 0.142426 -1.206895 
3.033894 0.158145 -1.206895 
2.797969 0.168412 -1.206895 
2.448418 0.174004 -1.206895 
2.098849 0.169616 -1.206895 
1.727074 0.152080 -1.206895 
1.357140 0.111184 -1.206895 
1.231998 0.094373 -1.206895 
1.106823 0.077817 -1.206895 
1.033730 0.069039 -1.206895 
0.960479 0.061695 -1.206895 
0.899715 0.057510 -1.206895 
0.838818 0.056325 -1.206895 
0.761860 0.063807 -1.206895 
0.696801 0.105590 -1.206895 
0.522601 0.079192 -0.905171 
0.348401 0.052795 -0.603448 
0.174200 0.026397 -0.301724 
0.729885 0.014874 -0.195666 
3.315275 0.046543 -0.324082 
0.866501 0.037897 -0.620835 
2.589396 0.130776 -0.671974 
2.144882 0.128352 -0.565327 
2.284471 0.143580 -0.778528 
2.142630 0.113613 -0.355689 
1.135439 0.077827 -0.898082 
1.383533 0.105724 -0.737612 
1.625292 0.110695 -0.456596 
0.269830 -0.032418 -0.219299 
0.299011 -0.039904 -0.105428 
0.964082 0.057844 -1.075373 
1.144082 0.081472 -1.121454 
0.830782 0.036169 -0.811621 
1.021563 0.061005 -0.784604 
0.986700 0.051886 -0.369723 
0.445258 -0.019715 -0.298103 
0.649985 0.008857 -0.542545 
1.239220 0.090364 -0.801803 
1.290141 0.092937 -0.619855 
3.266409 0.116869 -0.949270 
1.172922 0.073447 -0.330134 
0.921248 0.040972 -0.185684 
1.748037 0.096069 -0.154072 
1.775545 0.122340 -0.573027 
1.807772 0.114019 -0.421585 
1.225165 0.091236 -1.010937 
1.427764 0.117978 -1.069625 
2.262670 0.122130 -0.481026 
2.040709 0.120756 -0.464482 
2.237840 0.137179 -0.688274 
