750 693
0.003234 -0.000437 0.000110 
0.003247 -0.000376 0.000165 
0.003254 -0.000309 0.000215 
0.003257 -0.000238 0.000258 
0.003256 -0.000162 0.000294 
0.003254 -0.000083 0.000323 
0.003252 -0.000001 0.000343 
0.003250 0.000082 0.000355 
0.003249 0.000165 0.000360 
0.003250 0.000249 0.000355 
0.003252 0.000332 0.000343 
0.003254 0.000413 0.000323 
0.003256 0.000491 0.000294 
0.003257 0.000567 0.000258 
0.003254 0.000639 0.000215 
0.003247 0.000706 0.000165 
0.003234 0.000767 0.000110 
0.003205 0.000862 0.000110 
0.003172 0.000957 0.000110 
0.003135 0.001049 0.000110 
0.003093 0.001140 0.000110 
0.003048 0.001229 0.000110 
0.002999 0.001316 0.000110 
0.002946 0.001400 0.000110 
0.002890 0.001483 0.000110 
0.002829 0.001562 0.000110 
0.002766 0.001639 0.000110 
0.002699 0.001713 0.000110 
0.002628 0.001784 0.000110 
0.002555 0.001851 0.000110 
0.002479 0.001916 0.000110 
0.002400 0.001977 0.000110 
0.002318 0.002034 0.000110 
0.002317 0.002032 0.000159 
0.002313 0.002026 0.000207 
0.002307 0.002015 0.000255 
0.002299 0.002001 0.000301 
0.002289 0.001983 0.000345 
0.002276 0.001961 0.000387 
0.002261 0.001935 0.000427 
0.002245 0.001907 0.000463 
0.002227 0.001875 0.000496 
0.002207 0.001841 0.000525 
0.002186 0.001804 0.000551 
0.002164 0.001766 0.000571 
0.002141 0.001726 0.000588 
0.002117 0.001685 0.000600 
0.002092 0.001642 0.000607 
0.002068 0.001600 0.000610 
0.002152 0.001537 0.000610 
0.002232 0.001469 0.000610 
0.002309 0.001397 0.000610 
0.002380 0.001320 0.000610 
0.002447 0.001239 0.000610 
0.002509 0.001154 0.000610 
0.002566 0.001066 0.000610 
0.002618 0.000974 0.000610 
0.002663 0.000879 0.000610 
0.002703 0.000782 0.000610 
0.002737 0.000683 0.000610 
0.002766 0.000581 0.000610 
0.002787 0.000479 0.000610 
0.002803 0.000375 0.000610 
0.002813 0.000270 0.000610 
0.002816 0.000165 0.000610 
0.002813 0.000060 0.000610 
0.002803 -0.000045 0.000610 
0.002787 -0.000149 0.000610 
0.002766 -0.000252 0.000610 
0.002737 -0.000353 0.000610 
0.002703 -0.000453 0.000610 
0.002663 -0.000550 0.000610 
0.002618 -0.000644 0.000610 
0.002566 -0.000736 0.000610 
0.002509 -0.000825 0.000610 
0.002447 -0.000910 0.000610 
0.002380 -0.000991 0.000610 
0.002309 -0.001067 0.000610 
0.002232 -0.001140 0.000610 
0.002152 -0.001207 0.000610 
0.002068 -0.001270 0.000610 
0.002092 -0.001313 0.000607 
0.002116 -0.001355 0.000600 
0.002140 -0.001396 0.000588 
0.002163 -0.001436 0.000572 
0.002186 -0.001475 0.000551 
0.002207 -0.001511 0.000526 
0.002226 -0.001545 0.000496 
0.002245 -0.001577 0.000464 
0.002261 -0.001605 0.000427 
0.002276 -0.001631 0.000388 
0.002289 -0.001653 0.000346 
0.002299 -0.001671 0.000302 
0.002307 -0.001686 0.000256 
0.002313 -0.001696 0.000208 
0.002317 -0.001702 0.000159 
0.002318 -0.001704 0.000110 
0.002400 -0.001647 0.000110 
0.002479 -0.001586 0.000110 
0.002555 -0.001522 0.000110 
0.002628 -0.001454 0.000110 
0.002699 -0.001383 0.000110 
0.002766 -0.001309 0.000110 
0.002829 -0.001233 0.000110 
0.002890 -0.001153 0.000110 
0.002946 -0.001071 0.000110 
0.002999 -0.000986 0.000110 
0.003048 -0.000899 0.000110 
0.003093 -0.000811 0.000110 
0.003135 -0.000720 0.000110 
0.003172 -0.000627 0.000110 
0.003205 -0.000533 0.000110 
0.003173 0.000271 0.000457 
0.002466 0.001700 0.000487 
0.002584 0.001808 0.000221 
0.003120 -0.000526 0.000385 
0.002565 -0.001190 0.000530 
0.003058 0.000444 0.000536 
0.002687 0.001468 0.000485 
0.003079 0.000609 0.000501 
0.002405 -0.001350 0.000529 
0.002827 0.001258 0.000491 
0.003160 0.000767 0.000367 
0.002549 0.001476 0.000554 
0.002438 -0.001062 0.000601 
0.002611 0.001705 0.000362 
0.002863 -0.000217 0.000602 
0.002895 0.000785 0.000576 
0.003002 -0.000892 0.000316 
0.002832 -0.000898 0.000501 
0.002851 -0.000843 0.000510 
0.003181 -0.000416 0.000341 
0.002270 0.001750 0.000548 
0.002969 -0.000513 0.000530 
0.002735 0.001099 0.000582 
0.002831 -0.001048 0.000421 
0.002652 0.001362 0.000550 
0.002500 -0.001134 0.000574 
0.003002 0.000487 0.000562 
0.003197 -0.000469 0.000270 
0.002829 0.001552 0.000190 
0.003013 0.000575 0.000548 
0.002485 0.001463 0.000578 
0.002414 0.001603 0.000558 
0.003141 0.000211 0.000489 
0.003172 0.000792 0.000333 
0.003058 -0.000535 0.000455 
0.003137 0.000651 0.000438 
0.002560 0.001539 0.000524 
0.003136 0.000031 0.000490 
0.002755 -0.000881 0.000550 
0.002428 0.001640 0.000538 
0.003052 -0.000709 0.000381 
0.003194 0.000421 0.000418 
0.002752 0.001272 0.000532 
0.003045 0.000878 0.000463 
0.002548 -0.001407 0.000395 
0.002868 -0.000884 0.000481 
0.002929 0.000924 0.000536 
0.002914 0.001116 0.000487 
0.002531 -0.001165 0.000554 
0.002813 0.001459 0.000374 
0.002948 0.001219 0.000400 
0.002998 -0.000586 0.000492 
0.002992 -0.000696 0.000456 
0.002683 -0.001052 0.000528 
0.002841 0.001529 0.000215 
0.003089 0.000355 0.000522 
0.002676 -0.000877 0.000581 
0.003061 -0.000585 0.000433 
0.003110 0.000298 0.000511 
0.003209 0.000010 0.000412 
0.002850 0.001146 0.000520 
0.002787 0.001322 0.000490 
0.003026 0.001012 0.000428 
0.002950 0.001029 0.000492 
0.002538 0.001233 0.000605 
0.002572 -0.001479 0.000253 
0.003092 0.000766 0.000453 
0.003027 -0.000668 0.000434 
0.002808 -0.000686 0.000573 
0.002767 0.001193 0.000550 
0.002648 0.001462 0.000513 
0.002789 0.001298 0.000500 
0.002664 0.001613 0.000400 
0.003034 -0.000791 0.000350 
0.002992 0.000389 0.000572 
0.002946 -0.000874 0.000413 
0.003007 -0.000371 0.000535 
0.002954 -0.000672 0.000498 
0.002683 0.001320 0.000549 
0.002988 0.000863 0.000513 
0.002734 0.000953 0.000600 
0.002878 0.001242 0.000458 
0.002894 -0.000632 0.000546 
0.003138 0.000346 0.000486 
0.002539 -0.001025 0.000588 
0.003035 0.000738 0.000509 
0.002826 0.001115 0.000542 
0.003133 0.000794 0.000394 
0.003160 -0.000533 0.000311 
0.003204 0.000183 0.000424 
0.002974 -0.000162 0.000574 
0.002739 0.001329 0.000518 
0.003080 0.000322 0.000530 
0.003000 0.000727 0.000534 
0.003036 0.000508 0.000543 
0.003086 0.000461 0.000515 
0.002606 0.001410 0.000553 
0.002450 0.001839 0.000378 
0.002564 0.001662 0.000448 
0.002406 0.001963 0.000193 
0.002868 0.000860 0.000575 
0.002819 0.000863 0.000590 
0.002740 0.001536 0.000390 
0.002495 0.001883 0.000230 
0.002577 0.001561 0.000504 
0.002390 0.001760 0.000491 
0.002364 0.001901 0.000384 
0.002431 0.001816 0.000420 
0.002532 0.001773 0.000371 
0.002776 0.001578 0.000284 
0.002373 -0.001607 0.000324 
0.002375 -0.001651 0.000216 
0.003143 -0.000592 0.000303 
0.003219 -0.000460 0.000201 
0.003077 -0.000599 0.000408 
0.002603 0.001577 0.000478 
0.002836 0.001478 0.000318 
0.002790 -0.001131 0.000400 
0.002634 -0.000995 0.000568 
0.002569 -0.001062 0.000572 
0.003044 -0.000574 0.000454 
0.002677 0.001435 0.000508 
0.002205 0.001627 0.000599 
0.002409 -0.001604 0.000278 
0.003227 0.000336 0.000384 
0.003149 0.000490 0.000458 
0.003110 0.000350 0.000508 
0.003206 0.000099 0.000421 
0.002529 -0.001292 0.000498 
0.002974 -0.001015 0.000191 
0.002259 -0.001175 0.000608 
0.002606 0.001329 0.000576 
0.002645 0.001390 0.000543 
0.002265 0.001518 0.000606 
0.003150 0.000800 0.000366 
0.002504 0.001393 0.000589 
0.002902 0.000209 0.000602 
0.003177 0.000018 0.000450 
0.003070 -0.000816 0.000245 
0.002573 -0.001310 0.000458 
0.002202 -0.001284 0.000601 
0.002254 -0.001360 0.000575 
0.003225 0.000503 0.000356 
0.003200 0.000669 0.000342 
0.003076 -0.000547 0.000432 
0.002409 -0.001026 0.000607 
0.002310 -0.001433 0.000527 
0.003104 -0.000522 0.000408 
0.003161 0.000587 0.000425 
0.003109 0.000628 0.000471 
0.003099 0.000542 0.000495 
0.002637 0.001591 0.000444 
0.002895 0.001160 0.000483 
0.002884 0.001130 0.000503 
0.002924 0.001144 0.000466 
0.003104 0.000235 0.000518 
0.002702 0.001436 0.000492 
0.002329 0.001849 0.000461 
0.003082 0.000053 0.000531 
0.002552 0.001318 0.000592 
0.002877 0.000702 0.000590 
0.002831 0.000695 0.000601 
0.002906 0.000621 0.000588 
0.003177 0.000748 0.000346 
0.003151 0.000752 0.000387 
0.002249 0.001712 0.000569 
0.002981 0.001146 0.000407 
0.003226 0.000740 0.000228 
0.002329 -0.001614 0.000362 
0.002415 -0.001559 0.000349 
0.003231 0.000679 0.000264 
0.002974 -0.000841 0.000400 
0.002789 -0.001211 0.000316 
0.003211 -0.000082 0.000397 
0.003159 -0.000605 0.000248 
0.003228 0.000174 0.000393 
0.002829 -0.000316 0.000604 
0.002748 0.001656 0.000158 
0.002731 0.001665 0.000205 
0.002499 0.001587 0.000531 
0.002550 0.001511 0.000540 
0.002979 0.001288 0.000284 
0.002994 0.001201 0.000349 
0.003161 0.000909 0.000270 
0.003084 0.001090 0.000279 
0.002602 0.001805 0.000166 
0.002337 -0.001642 0.000308 
0.002851 -0.000598 0.000571 
0.002758 -0.000643 0.000594 
0.002971 -0.000887 0.000371 
0.003037 -0.000836 0.000305 
0.002640 0.001336 0.000562 
0.002363 -0.001137 0.000602 
0.002607 -0.000952 0.000586 
0.002945 0.000347 0.000590 
0.003041 0.000194 0.000556 
0.003025 0.000320 0.000561 
0.002717 0.001662 0.000252 
0.002630 0.001721 0.000313 
0.002687 0.001634 0.000351 
0.002803 0.001269 0.000504 
0.002847 0.001218 0.000494 
0.002807 0.001293 0.000490 
0.002788 -0.001062 0.000452 
0.002748 -0.001067 0.000481 
0.002701 -0.001140 0.000474 
0.003065 0.000752 0.000482 
0.002963 0.000718 0.000556 
0.003019 0.000933 0.000468 
0.002902 0.001083 0.000507 
0.003120 -0.000404 0.000433 
0.003128 -0.000489 0.000391 
0.002891 -0.001079 0.000308 
0.002529 -0.001485 0.000317 
0.002645 -0.001401 0.000269 
0.002825 -0.000785 0.000543 
0.002715 0.001226 0.000563 
0.002699 0.001038 0.000599 
0.002777 0.001139 0.000559 
0.002935 -0.000283 0.000579 
0.002910 0.001232 0.000434 
0.002934 -0.000779 0.000473 
0.002858 -0.000705 0.000547 
0.003114 0.000710 0.000446 
0.003212 0.000809 0.000203 
0.003155 0.000980 0.000195 
0.002618 0.001373 0.000560 
0.002554 0.001434 0.000565 
0.003008 0.000103 0.000571 
0.002587 0.001140 0.000606 
0.002508 -0.000986 0.000600 
0.002423 -0.001208 0.000576 
0.002538 0.001639 0.000482 
0.003115 0.001075 0.000197 
0.002662 0.001735 0.000214 
0.002962 -0.000947 0.000332 
0.002915 -0.000900 0.000430 
0.002848 0.000783 0.000591 
0.002971 0.000980 0.000492 
0.002972 0.001028 0.000474 
0.002759 0.001236 0.000541 
0.002882 0.001377 0.000359 
0.003153 -0.000431 0.000380 
0.003140 -0.000530 0.000352 
0.002992 -0.000953 0.000260 
0.002736 0.001352 0.000511 
0.002730 0.001448 0.000466 
0.002633 0.001052 0.000607 
0.002798 0.001328 0.000479 
0.003069 0.001172 0.000198 
0.002662 -0.000691 0.000606 
0.002755 -0.000794 0.000571 
0.002929 -0.000725 0.000498 
0.002973 -0.000740 0.000456 
0.002973 -0.000808 0.000421 
0.003236 -0.000168 0.000336 
0.002290 0.001785 0.000523 
0.003045 -0.000626 0.000433 
0.002996 -0.000773 0.000415 
0.002872 -0.000781 0.000518 
0.002676 0.000965 0.000607 
0.002867 0.001097 0.000525 
0.002844 0.001057 0.000549 
0.002920 0.001034 0.000511 
0.002918 -0.001096 0.000204 
0.002784 -0.001004 0.000487 
0.002609 0.001496 0.000518 
0.002658 0.001516 0.000478 
0.003068 0.000888 0.000437 
0.003013 0.000993 0.000450 
0.003134 -0.000080 0.000483 
0.002713 -0.001065 0.000506 
0.002629 -0.001117 0.000529 
0.003135 -0.000198 0.000466 
0.002312 -0.001248 0.000591 
0.002962 0.000463 0.000580 
0.002888 0.000520 0.000598 
0.002860 0.000404 0.000606 
0.003170 -0.000618 0.000182 
0.003074 -0.000662 0.000379 
0.003062 -0.000740 0.000344 
0.002788 0.001601 0.000197 
0.002857 0.001523 0.000157 
0.002811 -0.000949 0.000493 
0.002602 -0.001209 0.000501 
0.002490 -0.001269 0.000530 
0.002988 0.000646 0.000553 
0.003047 0.000592 0.000526 
0.002316 0.001615 0.000582 
0.002503 -0.001544 0.000238 
0.003027 0.000421 0.000554 
0.002398 0.001499 0.000591 
0.002589 0.001684 0.000408 
0.002568 0.001803 0.000274 
0.002462 0.001928 0.000143 
0.002967 -0.000788 0.000438 
0.003028 -0.000758 0.000384 
0.002975 0.000559 0.000568 
0.003007 -0.000711 0.000435 
0.003098 0.000995 0.000338 
