939 918
0.001681 0.000953 0.001055 
0.001685 0.000950 0.001045 
0.001688 0.000948 0.001033 
0.001690 0.000946 0.001021 
0.001690 0.000946 0.001010 
0.001738 0.001028 0.001010 
0.001785 0.001111 0.001010 
0.001833 0.001193 0.001010 
0.001880 0.001276 0.001010 
0.001928 0.001358 0.001010 
0.001976 0.001440 0.001010 
0.002023 0.001523 0.001010 
0.002071 0.001605 0.001010 
0.002070 0.001606 0.001019 
0.002069 0.001606 0.001029 
0.002067 0.001607 0.001039 
0.002064 0.001609 0.001048 
0.002061 0.001611 0.001057 
0.002056 0.001614 0.001065 
0.002051 0.001617 0.001073 
0.002045 0.001620 0.001080 
0.002039 0.001624 0.001087 
0.002032 0.001628 0.001093 
0.002025 0.001632 0.001098 
0.002017 0.001636 0.001102 
0.002009 0.001641 0.001105 
0.002001 0.001646 0.001108 
0.001993 0.001650 0.001109 
0.001984 0.001655 0.001110 
0.001890 0.001493 0.001110 
0.001796 0.001330 0.001110 
0.001702 0.001167 0.001110 
0.001609 0.001005 0.001110 
0.001620 0.000997 0.001109 
0.001631 0.000990 0.001106 
0.001642 0.000982 0.001101 
0.001652 0.000975 0.001095 
0.001661 0.000969 0.001087 
0.001669 0.000963 0.001078 
0.001676 0.000957 0.001067 
0.001714 0.001160 0.001109 
0.001915 0.001478 0.001105 
0.001733 0.001033 0.001046 
0.001756 0.001095 0.001066 
0.001811 0.001247 0.001094 
0.001704 0.001053 0.001091 
0.001877 0.001354 0.001091 
0.001687 0.000989 0.001075 
0.001933 0.001418 0.001077 
0.001663 0.001006 0.001098 
0.001727 0.001101 0.001093 
0.001760 0.001078 0.001042 
0.001763 0.001166 0.001094 
0.001864 0.001288 0.001070 
0.001679 0.000968 0.001070 
0.001635 0.001000 0.001106 
0.001950 0.001440 0.001072 
0.001858 0.001266 0.001062 
0.001668 0.000990 0.001090 
0.001685 0.001016 0.001089 
0.001794 0.001170 0.001072 
0.001826 0.001287 0.001097 
0.001735 0.001053 0.001062 
0.001903 0.001346 0.001063 
0.001730 0.001082 0.001084 
0.001749 0.001120 0.001086 
0.001770 0.001093 0.001040 
0.001774 0.001120 0.001061 
0.001849 0.001322 0.001097 
0.001972 0.001512 0.001089 
0.001957 0.001431 0.001055 
0.001790 0.001194 0.001088 
0.001833 0.001266 0.001086 
0.001886 0.001301 0.001049 
0.001743 0.001055 0.001050 
0.001941 0.001399 0.001052 
0.001760 0.001111 0.001072 
0.001848 0.001235 0.001049 
0.001668 0.001019 0.001099 
0.001625 0.000998 0.001108 
0.001935 0.001445 0.001088 
0.001822 0.001227 0.001077 
0.001871 0.001275 0.001049 
0.001847 0.001298 0.001090 
0.001710 0.001033 0.001077 
0.001721 0.001079 0.001090 
0.001745 0.001105 0.001083 
0.001763 0.001088 0.001050 
0.001788 0.001132 0.001049 
0.001763 0.001134 0.001082 
0.001864 0.001321 0.001087 
0.001717 0.001046 0.001077 
0.001886 0.001322 0.001067 
0.001637 0.001008 0.001107 
0.001974 0.001458 0.001054 
0.001808 0.001223 0.001087 
0.001880 0.001283 0.001036 
0.001744 0.001137 0.001096 
0.001809 0.001158 0.001036 
0.001748 0.001153 0.001098 
0.001841 0.001302 0.001095 
0.001941 0.001478 0.001095 
0.001783 0.001176 0.001085 
0.001824 0.001266 0.001093 
0.001892 0.001306 0.001041 
0.001960 0.001422 0.001039 
0.001868 0.001261 0.001036 
