551 530
0.001681 0.000953 0.001055 
0.001685 0.000950 0.001045 
0.001688 0.000948 0.001033 
0.001690 0.000946 0.001021 
0.001690 0.000946 0.001010 
0.001738 0.001028 0.001010 
0.001785 0.001111 0.001010 
0.001833 0.001193 0.001010 
0.001880 0.001276 0.001010 
0.001928 0.001358 0.001010 
0.001976 0.001440 0.001010 
0.002023 0.001523 0.001010 
0.002071 0.001605 0.001010 
0.002070 0.001606 0.001019 
0.002069 0.001606 0.001029 
0.002067 0.001607 0.001039 
0.002064 0.001609 0.001048 
0.002061 0.001611 0.001057 
0.002056 0.001614 0.001065 
0.002051 0.001617 0.001073 
0.002045 0.001620 0.001080 
0.002039 0.001624 0.001087 
0.002032 0.001628 0.001093 
0.002025 0.001632 0.001098 
0.002017 0.001636 0.001102 
0.002009 0.001641 0.001105 
0.002001 0.001646 0.001108 
0.001993 0.001650 0.001109 
0.001984 0.001655 0.001110 
0.001890 0.001493 0.001110 
0.001796 0.001330 0.001110 
0.001702 0.001167 0.001110 
0.001609 0.001005 0.001110 
0.001620 0.000997 0.001109 
0.001631 0.000990 0.001106 
0.001642 0.000982 0.001101 
0.001652 0.000975 0.001095 
0.001661 0.000969 0.001087 
0.001669 0.000963 0.001078 
0.001676 0.000957 0.001067 
0.001767 0.001170 0.001093 
0.001919 0.001433 0.001093 
0.001937 0.001525 0.001107 
0.001816 0.001245 0.001090 
0.001963 0.001507 0.001092 
0.001915 0.001398 0.001082 
0.001916 0.001386 0.001075 
0.001707 0.001069 0.001094 
0.001742 0.001066 0.001062 
0.001783 0.001173 0.001084 
0.001846 0.001291 0.001088 
0.001691 0.000988 0.001070 
0.001945 0.001441 0.001078 
0.001837 0.001274 0.001087 
0.001751 0.001070 0.001052 
0.001793 0.001175 0.001076 
0.001894 0.001379 0.001089 
0.001728 0.001058 0.001074 
0.001884 0.001332 0.001076 
0.001737 0.001088 0.001081 
0.001756 0.001125 0.001084 
0.001776 0.001156 0.001082 
0.001765 0.001125 0.001076 
0.001856 0.001323 0.001093 
0.001966 0.001489 0.001083 
0.001838 0.001277 0.001088 
0.001749 0.001089 0.001070 
0.001961 0.001434 0.001051 
0.001753 0.001106 0.001077 
0.001828 0.001233 0.001074 
0.001703 0.001084 0.001100 
0.001884 0.001367 0.001092 
0.001768 0.001140 0.001081 
0.001868 0.001329 0.001088 
0.001875 0.001331 0.001083 
0.001728 0.001113 0.001096 
0.001959 0.001441 0.001062 
0.001822 0.001238 0.001083 
0.001868 0.001292 0.001069 
0.001985 0.001527 0.001085 
0.001807 0.001179 0.001063 
0.001771 0.001156 0.001085 
0.001849 0.001315 0.001094 
0.001827 0.001264 0.001090 
0.001902 0.001339 0.001060 
0.001961 0.001428 0.001043 
0.001853 0.001275 0.001074 
0.001723 0.001078 0.001088 
0.001781 0.001155 0.001077 
0.001871 0.001339 0.001090 
0.002005 0.001518 0.001059 
0.001789 0.001200 0.001090 
0.001822 0.001249 0.001088 
0.001767 0.001116 0.001067 
0.001932 0.001443 0.001089 
0.001877 0.001345 0.001088 
0.001801 0.001181 0.001071 
0.001810 0.001204 0.001076 
0.001824 0.001297 0.001101 
0.001897 0.001360 0.001079 
0.001961 0.001480 0.001083 
0.001748 0.001119 0.001087 
0.001751 0.001143 0.001093 
0.001852 0.001337 0.001099 
0.001826 0.001257 0.001088 
0.001830 0.001272 0.001091 
0.001906 0.001361 0.001070 
